Dataset,SubsetMillion,Algorithm,K,ef,Recall,TimePerQuery(ms)
bigann_1M,1,Camel,1,10,0.793200,1.715323
bigann_1M,1,Camel,1,20,0.903900,2.592007
bigann_1M,1,Camel,1,30,0.941700,3.450318
bigann_1M,1,Camel,1,40,0.962900,4.279266
bigann_1M,1,Camel,1,50,0.973700,5.104988
bigann_1M,1,Camel,1,60,0.981100,5.902601
bigann_1M,1,Camel,1,80,0.988700,7.469151
bigann_1M,1,Camel,1,100,0.993400,8.989417
bigann_1M,1,Elf,1,10,0.789500,1.528214
bigann_1M,1,Elf,1,20,0.899500,2.382496
bigann_1M,1,Elf,1,30,0.941500,3.183037
bigann_1M,1,Elf,1,40,0.961800,3.978391
bigann_1M,1,Elf,1,50,0.972400,4.736083
bigann_1M,1,Elf,1,60,0.980300,5.473983
bigann_1M,1,Elf,1,80,0.988700,6.929004
bigann_1M,1,Elf,1,100,0.993100,8.337395
bigann_1M,1,Gorilla,1,10,0.790400,1.396916
bigann_1M,1,Gorilla,1,20,0.902200,2.158649
bigann_1M,1,Gorilla,1,30,0.941000,2.875401
bigann_1M,1,Gorilla,1,40,0.961600,3.603629
bigann_1M,1,Gorilla,1,50,0.972800,4.281856
bigann_1M,1,Gorilla,1,60,0.980100,4.944240
bigann_1M,1,Gorilla,1,80,0.989100,6.264650
bigann_1M,1,Gorilla,1,100,0.993800,7.525458
bigann_10M,10,Camel,1,10,0.707600,1.958266
bigann_10M,10,Camel,1,20,0.834600,3.075074
bigann_10M,10,Camel,1,30,0.891700,4.152131
bigann_10M,10,Camel,1,40,0.924400,5.136289
bigann_10M,10,Camel,1,50,0.943200,6.130491
bigann_10M,10,Camel,1,60,0.956400,7.110231
bigann_10M,10,Camel,1,80,0.971300,8.964792
bigann_10M,10,Camel,1,100,0.979500,10.745263
bigann_10M,10,Camel,1,120,0.985200,12.503401
bigann_10M,10,Camel,1,150,0.989100,15.066325
bigann_10M,10,Camel,1,200,0.992800,19.230268
bigann_10M,10,Elf,1,10,0.713800,1.848019
bigann_10M,10,Elf,1,20,0.839300,2.840925
bigann_10M,10,Elf,1,30,0.893200,3.839324
bigann_10M,10,Elf,1,40,0.924500,4.781180
bigann_10M,10,Elf,1,50,0.942000,5.681047
bigann_10M,10,Elf,1,60,0.956000,6.573820
bigann_10M,10,Elf,1,80,0.970600,8.292910
bigann_10M,10,Elf,1,100,0.978600,9.813645
bigann_10M,10,Elf,1,120,0.983800,11.504005
bigann_10M,10,Elf,1,150,0.989300,14.016031
bigann_10M,10,Elf,1,200,0.992600,17.958287
bigann_10M,10,Gorilla,1,10,0.709900,1.700974
bigann_10M,10,Gorilla,1,20,0.835800,2.702394
bigann_10M,10,Gorilla,1,30,0.892100,3.604461
bigann_10M,10,Gorilla,1,40,0.925300,4.482828
bigann_10M,10,Gorilla,1,50,0.943200,5.335143
bigann_10M,10,Gorilla,1,60,0.955600,6.168115
bigann_10M,10,Gorilla,1,80,0.970100,7.789296
bigann_10M,10,Gorilla,1,100,0.978500,9.314958
bigann_10M,10,Gorilla,1,120,0.983600,10.899463
bigann_10M,10,Gorilla,1,150,0.988700,13.045051
bigann_10M,10,Gorilla,1,200,0.992400,16.729118
