Dataset,Algorithm,Param,K,ef,Recall,TimePerQuery(ms)
bigann_1M,HNSWPQ,4,1,10,0.570800,0.109569
bigann_1M,HNSWPQ,4,1,20,0.617900,0.153893
bigann_1M,HNSWPQ,4,1,40,0.644700,0.240006
bigann_1M,HNSWPQ,4,1,80,0.655600,0.379355
bigann_1M,HNSWPQ,4,1,120,0.657200,0.546051
bigann_1M,HNSWPQ,4,1,200,0.658000,0.886955
bigann_1M,HNSWPQ,4,1,400,0.658000,1.690540
bigann_1M,HNSWPQ,4,1,600,0.658100,2.473492
bigann_1M,HNSWPQ,4,1,800,0.658100,3.415418
bigann_1M,HNSWPQ,4,1,1000,0.658100,4.286576
bigann_1M,HNSWPQ,8,1,10,0.399500,0.069338
bigann_1M,HNSWPQ,8,1,20,0.435700,0.098782
bigann_1M,HNSWPQ,8,1,40,0.452100,0.153921
bigann_1M,HNSWPQ,8,1,80,0.457800,0.268511
bigann_1M,HNSWPQ,8,1,120,0.459600,0.392814
bigann_1M,HNSWPQ,8,1,200,0.459100,0.622739
bigann_1M,HNSWPQ,8,1,400,0.459300,1.295119
bigann_1M,HNSWPQ,8,1,600,0.459300,1.921658
bigann_1M,HNSWPQ,8,1,800,0.459300,2.649869
bigann_1M,HNSWPQ,8,1,1000,0.459300,3.415908
bigann_1M,HNSWSQ,8,1,10,0.802800,0.081576
bigann_1M,HNSWSQ,8,1,20,0.899900,0.130620
bigann_1M,HNSWSQ,8,1,40,0.956600,0.227401
bigann_1M,HNSWSQ,8,1,80,0.977400,0.415164
bigann_1M,HNSWSQ,8,1,120,0.981900,0.613339
bigann_1M,HNSWSQ,8,1,200,0.983700,0.985371
bigann_1M,HNSWSQ,8,1,400,0.984400,1.961162
bigann_1M,HNSWSQ,8,1,600,0.984400,2.802268
bigann_1M,HNSWSQ,8,1,800,0.984400,3.792329
bigann_1M,HNSWSQ,8,1,1000,0.984400,4.660762
bigann_10M,HNSWPQ,4,1,10,0.485500,0.137990
bigann_10M,HNSWPQ,4,1,20,0.553900,0.198421
bigann_10M,HNSWPQ,4,1,40,0.588300,0.313082
bigann_10M,HNSWPQ,4,1,80,0.603500,0.544244
bigann_10M,HNSWPQ,4,1,120,0.606800,0.783846
bigann_10M,HNSWPQ,4,1,200,0.610000,1.217143
bigann_10M,HNSWPQ,4,1,400,0.611900,2.359523
bigann_10M,HNSWPQ,4,1,600,0.611800,3.493013
bigann_10M,HNSWPQ,4,1,800,0.611600,4.618832
bigann_10M,HNSWPQ,4,1,1000,0.611700,6.454286
bigann_10M,HNSWPQ,8,1,10,0.315000,0.110908
bigann_10M,HNSWPQ,8,1,20,0.355000,0.164584
bigann_10M,HNSWPQ,8,1,40,0.380200,0.266237
bigann_10M,HNSWPQ,8,1,80,0.387300,0.463522
bigann_10M,HNSWPQ,8,1,120,0.390400,0.668890
bigann_10M,HNSWPQ,8,1,200,0.393400,1.070933
bigann_10M,HNSWPQ,8,1,400,0.395100,2.107879
bigann_10M,HNSWPQ,8,1,600,0.394600,2.791526
bigann_10M,HNSWPQ,8,1,800,0.394700,3.702715
bigann_10M,HNSWPQ,8,1,1000,0.394600,4.696795
bigann_10M,HNSWSQ,8,1,10,0.722100,0.108560
bigann_10M,HNSWSQ,8,1,20,0.845200,0.165799
bigann_10M,HNSWSQ,8,1,40,0.918500,0.285934
bigann_10M,HNSWSQ,8,1,80,0.956800,0.522822
bigann_10M,HNSWSQ,8,1,120,0.967900,0.765003
bigann_10M,HNSWSQ,8,1,200,0.973700,1.223204
bigann_10M,HNSWSQ,8,1,400,0.977000,2.384676
bigann_10M,HNSWSQ,8,1,600,0.977500,3.560954
bigann_10M,HNSWSQ,8,1,800,0.977600,4.770403
bigann_10M,HNSWSQ,8,1,1000,0.977900,5.823457
