Dataset,SubsetMillion,K,ef,Recall,TimePerQuery(ms)
bigann_1M,1,1,10,0.792700,0.122076
bigann_1M,1,1,20,0.900400,0.149951
bigann_1M,1,1,30,0.942500,0.190807
bigann_1M,1,1,40,0.962400,0.208570
bigann_1M,1,1,50,0.974300,0.256589
bigann_1M,1,1,60,0.981700,0.278429
bigann_1M,1,1,80,0.989700,0.351486
bigann_1M,1,1,100,0.993400,0.413185
bigann_10M,10,1,10,0.702800,0.100684
bigann_10M,10,1,20,0.835900,0.141979
bigann_10M,10,1,30,0.891700,0.187717
bigann_10M,10,1,40,0.923000,0.235225
bigann_10M,10,1,50,0.941800,0.278160
bigann_10M,10,1,60,0.954800,0.332745
bigann_10M,10,1,80,0.969000,0.428735
bigann_10M,10,1,100,0.977900,0.515497
bigann_10M,10,1,120,0.983600,0.586569
bigann_10M,10,1,150,0.988700,0.715766
bigann_10M,10,1,200,0.992600,0.930153
