Dataset,SubsetMillion,K,ef,Recall,TimePerQuery(ms)
bigann_1M,1,1,10,0.796000,0.320762
bigann_1M,1,1,20,0.900000,0.477864
bigann_1M,1,1,30,0.942600,0.613516
bigann_1M,1,1,40,0.961900,0.820983
bigann_1M,1,1,50,0.972200,0.890677
bigann_1M,1,1,60,0.979700,0.997283
bigann_1M,1,1,80,0.989000,1.295651
bigann_1M,1,1,100,0.993100,1.531651
bigann_10M,10,1,10,0.704700,0.419315
bigann_10M,10,1,20,0.834600,0.608509
bigann_10M,10,1,30,0.889200,0.801926
bigann_10M,10,1,40,0.924700,1.007303
bigann_10M,10,1,50,0.943000,1.163768
bigann_10M,10,1,60,0.954600,1.358772
bigann_10M,10,1,80,0.969200,1.740491
bigann_10M,10,1,100,0.978200,2.032632
bigann_10M,10,1,120,0.983900,2.356398
bigann_10M,10,1,150,0.988700,2.890695
bigann_10M,10,1,200,0.992100,3.666072
