Dataset,SubsetMillion,K,ef,Recall,TimePerQuery(ms)
bigann_1M,1,1,10,0.784700,0.438091
bigann_1M,1,1,20,0.892400,0.638934
bigann_1M,1,1,30,0.934000,0.841740
bigann_1M,1,1,40,0.952300,1.034879
bigann_1M,1,1,50,0.966500,1.223747
bigann_1M,1,1,60,0.974300,1.423269
bigann_1M,1,1,80,0.983900,1.799860
bigann_1M,1,1,100,0.986900,2.176666
bigann_1M,1,1,120,0.989800,2.543383
bigann_1M,1,1,150,0.991800,3.106713
bigann_10M,10,1,10,0.701000,0.557984
bigann_10M,10,1,20,0.826600,0.861688
bigann_10M,10,1,30,0.880800,1.147871
bigann_10M,10,1,40,0.912200,1.446376
bigann_10M,10,1,50,0.932700,1.729053
bigann_10M,10,1,60,0.945400,2.038851
bigann_10M,10,1,80,0.960800,2.715615
bigann_10M,10,1,100,0.970100,3.232652
bigann_10M,10,1,120,0.976200,3.638330
bigann_10M,10,1,150,0.982200,4.310676
bigann_10M,10,1,200,0.986800,5.471879
bigann_10M,10,1,300,0.991000,8.033403
