Dataset,Cache_Ratio(%),Cache_Size,Compress_Time(s),QPS,Recall@1,Decoding_Calls,Distance_Computations,Avg_Decode_Per_Query,Cache_Efficiency_Ratio,Cache_Hit_Rate
gist-960-euclidean,0.50,5000,99.3030,218.71,0.9310,692142,21797,692.142000,428.845918,0.029655
gist-960-euclidean,1.00,10000,97.8745,215.05,0.9310,688263,21797,688.263000,212.923877,0.035093
gist-960-euclidean,2.00,20000,98.1504,218.37,0.9300,680315,21794,680.315000,108.642565,0.046232
gist-960-euclidean,3.00,30000,98.8293,212.17,0.9300,672051,21794,672.051000,70.490027,0.057814
gist-960-euclidean,5.00,50000,98.4060,214.05,0.9300,656727,21794,656.727000,42.724475,0.079296
gist-960-euclidean,10.00,100000,98.1100,208.79,0.9300,622746,21794,622.746000,20.857652,0.126961
sift-128-euclidean,0.50,5000,13.0249,1087.65,0.9843,5817688,217840,581.768800,2132.652427,0.033586
sift-128-euclidean,1.00,10000,13.1285,1224.63,0.9843,5783878,217840,578.387800,1212.502529,0.039202
sift-128-euclidean,2.00,20000,12.8493,1248.93,0.9843,5716739,217840,571.673900,621.356414,0.050355
sift-128-euclidean,3.00,30000,13.4017,1226.84,0.9843,5649554,217840,564.955400,407.586847,0.061516
sift-128-euclidean,5.00,50000,13.4551,1275.74,0.9843,5511927,217840,551.192700,254.639463,0.084378
sift-128-euclidean,10.00,100000,13.0862,1296.77,0.9843,5213765,217840,521.376500,129.547767,0.133908
mnist-784-euclidean,0.50,300,19.7420,723.90,0.9991,4253432,156916,425.343200,1419.407420,0.029793
mnist-784-euclidean,1.00,600,19.7020,734.78,0.9991,4228223,156916,422.822300,727.503014,0.035543
mnist-784-euclidean,2.00,1200,19.9606,725.55,0.9991,4175207,156916,417.520700,360.969223,0.047636
mnist-784-euclidean,3.00,1800,19.6988,733.31,0.9991,4123430,156916,412.343000,243.623737,0.059446
mnist-784-euclidean,5.00,3000,19.2824,738.79,0.9991,4017495,156916,401.749500,147.462204,0.083610
mnist-784-euclidean,10.00,6000,19.9421,765.73,0.9991,3785134,156916,378.513400,76.496430,0.136612
