Dataset,Algorithm,ChainMaxLength,CompressionRatio,AvgDecompressUs,P50DecompressUs,P95DecompressUs,P99DecompressUs,NumSamples,SearchEf,QPS,MeanLatencyUs,P99LatencyUs,Recall@1,AverageReplayDepth
mnist-784-euclidean,DeXOR,2,12.098972,38.125,36.000,62.000,74.000,5000,200,25.08,39872.93,61815.00,0.999900,0.955568
mnist-784-euclidean,DeXOR,3,12.136611,40.380,40.000,57.000,71.000,5000,200,16.70,59864.47,93095.00,0.999800,1.807315
mnist-784-euclidean,DeXOR,4,12.266884,50.135,53.000,62.000,76.000,5000,200,12.90,77511.24,121117.00,0.999800,2.518825
mnist-784-euclidean,DeXOR,5,12.379233,64.636,63.000,111.000,173.000,5000,200,10.85,92129.29,144867.00,0.999900,3.096879
mnist-784-euclidean,DeXOR,6,12.423829,71.039,72.000,104.000,120.000,5000,200,9.35,106987.33,166884.00,0.999800,3.638238
mnist-784-euclidean,DeXOR,7,12.445927,80.025,82.000,120.000,138.000,5000,200,8.48,117949.55,183014.00,0.999700,4.053213
mnist-784-euclidean,DeXOR,8,12.475616,86.780,88.000,135.000,154.000,5000,200,7.96,125682.14,195559.00,0.999700,4.366544
mnist-784-euclidean,DeXOR,-1,12.492738,103.907,98.000,188.000,264.000,5000,200,6.94,144048.99,222133.00,0.999900,5.183076
sift-128-euclidean,DeXOR,2,6.389919,8.345,8.000,9.000,23.000,5000,200,38.16,26203.34,35865.00,0.990500,0.962136
sift-128-euclidean,DeXOR,3,6.295973,13.816,14.000,23.000,31.000,5000,200,23.86,41910.59,57345.00,0.990100,1.811778
sift-128-euclidean,DeXOR,4,6.366726,18.042,18.000,33.000,38.000,5000,200,18.51,54031.57,73959.00,0.990600,2.526120
sift-128-euclidean,DeXOR,5,6.421764,26.902,30.000,33.000,38.000,5000,200,15.88,62975.93,87894.00,0.991300,3.152794
sift-128-euclidean,DeXOR,6,6.461555,23.439,24.000,31.000,45.000,5000,200,14.38,69524.54,95194.00,0.990200,3.727520
sift-128-euclidean,DeXOR,7,6.489806,25.822,27.000,35.000,49.000,5000,200,12.92,77384.39,105906.00,0.991100,4.238970
sift-128-euclidean,DeXOR,8,6.511561,28.318,29.000,41.000,54.000,5000,200,11.94,83717.77,114304.00,0.991400,4.670954
sift-128-euclidean,DeXOR,-1,6.569291,37.495,35.000,71.000,91.000,5000,200,9.03,110722.25,148354.00,0.990300,6.448544
