Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Num_Rounds,Enable_Profiling,Recall,TimePerQuery(us),P99_Latency(us),QPS,Decoding_Calls,GetOriginalData_Calls,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,10,3,1,0.783300,2674.657433,4482.33,373.78,6850104,3871956,685.010400,0.769159
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,20,3,1,0.884800,4038.407167,6384.67,247.57,10266233,5588366,1026.623300,0.837072
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,30,3,1,0.927800,5321.791733,7940.67,187.88,13460554,7193345,1346.055400,0.871251
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,40,3,1,0.948700,6558.996067,9418.67,152.44,16553862,8747644,1655.386200,0.892379
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,50,3,1,0.963700,7787.540900,10874.33,128.40,19617821,10287272,1961.782100,0.906999
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,60,3,1,0.971800,8997.389200,12371.33,111.13,22608979,11790261,2260.897900,0.917598
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,80,3,1,0.981100,11323.293333,15315.67,88.31,28415150,14707856,2841.515000,0.931971
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,100,3,1,0.984100,13671.703733,18911.67,73.14,34045530,17537086,3404.553000,0.941345
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,120,3,1,0.987800,15891.031300,21502.00,62.93,39504153,20279959,3950.415300,0.947940
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,150,3,1,0.989700,19057.295200,25869.67,52.47,47428750,24262080,4742.875000,0.954851
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,200,3,1,0.990500,24635.462400,33826.67,40.62,60045615,30602171,6004.561500,0.962136
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,10,3,1,0.772200,595.529367,980.33,1676.81,1276273,725972,127.627300,0.758020
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,20,3,1,0.874800,886.212000,1370.33,1127.29,1911575,1045095,191.157500,0.829092
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,30,3,1,0.916500,1110.936533,1640.00,899.70,2511452,1346415,251.145200,0.865288
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,40,3,1,0.942300,1356.377800,1918.33,736.81,3099694,1641914,309.969400,0.887854
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,50,3,1,0.956300,1608.160133,2219.00,621.50,3681809,1934309,368.180900,0.903423
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,60,3,1,0.963600,1859.693533,2506.67,537.48,4256781,2223190,425.678100,0.914718
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,80,3,1,0.972800,2354.092500,3078.00,424.64,5383242,2789147,538.324200,0.930068
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,100,3,1,0.976800,2843.579433,3697.33,351.56,6491306,3345866,649.130600,0.940097
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,120,3,1,0.978800,3318.217433,4300.00,301.29,7581230,3893497,758.123000,0.947152
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,150,3,1,0.982900,4019.217400,5190.00,248.75,9183496,4698624,918.349600,0.954508
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,200,3,1,0.983900,5173.493867,6635.67,193.26,11789422,6008046,1178.942200,0.962272
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,300,3,1,0.986200,7396.264900,9436.33,135.19,16827472,8539431,1682.747200,0.970561
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,400,3,1,0.987200,9555.224867,12117.00,104.64,21702738,10989229,2170.273800,0.974910
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,10,3,1,0.783300,2139.489600,3724.33,467.22,4514127,2967577,451.412700,0.985066
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,20,3,1,0.884800,3343.124700,5414.00,299.05,7132049,4664616,713.204900,0.988533
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,30,3,1,0.927800,4460.929767,6764.33,224.13,9578579,6251342,957.857900,0.990089
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,40,3,1,0.948700,5553.829133,8030.33,180.03,11948095,7787654,1194.809500,0.990989
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,50,3,1,0.963700,6656.608433,9437.00,150.21,14294886,9309638,1429.488600,0.991568
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,60,3,1,0.971800,7653.491400,10630.67,130.65,16583661,10795469,1658.366100,0.991985
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,80,3,1,0.981100,9683.254467,13265.33,103.26,21026564,13679822,2102.656400,0.992521
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,100,3,1,0.984100,11672.988233,15892.67,85.66,25336505,16476716,2533.650500,0.992866
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,120,3,1,0.987800,13634.143367,18619.00,73.34,29515294,19188450,2951.529400,0.993111
sift-128-euclidean,DeXOR,2,1,0,0.0000,1,150,3,1,0.989700,16564.604433,22667.67,60.37,35581295,23125509,3558.129500,0.993350
