Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,10,0.456000,33993.363000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,20,0.608000,50520.818000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,30,0.699000,64694.928000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,40,0.740000,79730.688000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,50,0.776000,93480.244000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,60,0.802000,108161.473000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,80,0.847000,137945.495000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,100,0.873000,161349.330000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,120,0.893000,184283.240000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,150,0.905000,221566.176000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,200,0.928000,284333.832000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,300,0.954000,397914.356000
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,400,0.965000,502380.053000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,10,0.428000,3846.676000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,20,0.558000,5604.641000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,30,0.646000,7217.303000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,40,0.705000,8708.592000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,50,0.737000,10505.697000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,60,0.771000,12231.248000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,80,0.806000,15232.305000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,100,0.838000,18134.430000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,120,0.868000,22099.969000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,150,0.891000,27102.650000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,200,0.910000,34838.956000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,300,0.938000,50675.780000
gist-960-euclidean,DeXOR,2,0,1,0.1000,1,400,0.948000,66550.257000
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,10,0.442000,6221.026000
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,20,0.595000,9606.795000
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,30,0.684000,12540.314000
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,40,0.729000,15587.495000
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,50,0.766000,18070.508000
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,60,0.790000,20905.413000
