Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,10,0.783300,2887.230600
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,20,0.884800,4272.731400
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,30,0.927800,5624.310400
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,40,0.948700,6984.512200
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,50,0.963700,8281.525900
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,60,0.971800,9529.486700
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,80,0.981100,11866.379400
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,100,0.984100,14265.510800
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,120,0.987800,16585.156200
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,150,0.989700,20055.767600
sift-128-euclidean,DeXOR,2,0,0,0.0000,1,200,0.990500,25455.336600
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,10,0.740500,380.313200
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,20,0.851400,555.643900
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,30,0.895600,769.800400
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,40,0.920600,950.856500
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,50,0.934100,1136.035400
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,60,0.943500,1352.927500
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,80,0.954500,1722.903300
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,100,0.960900,2105.670500
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,120,0.963700,2481.043000
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,150,0.967500,3062.471100
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,200,0.972300,3978.435800
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,300,0.971900,5901.310000
sift-128-euclidean,DeXOR,2,0,1,0.1000,1,400,0.973000,7815.074200
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,10,0.772200,626.415200
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,20,0.874800,964.513100
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,30,0.916500,1230.364900
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,40,0.942300,1505.760100
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,50,0.956300,1802.882000
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,60,0.963600,2043.953600
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,80,0.972800,2501.709200
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,100,0.976800,3025.169000
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,120,0.978800,3577.345400
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,150,0.982900,4335.369100
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,200,0.983900,5481.896700
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,300,0.986200,7805.005100
sift-128-euclidean,DeXOR,2,0,1,0.2000,1,400,0.987200,10175.883600
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,10,0.780900,877.539100
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,20,0.884500,1351.127800
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,30,0.925500,1688.890400
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,40,0.946600,2078.086400
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,50,0.960600,2495.427400
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,60,0.969500,2830.388000
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,80,0.978300,3620.982300
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,100,0.982300,4362.245300
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,120,0.985500,5058.931600
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,150,0.987100,6082.704200
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,200,0.987800,7934.859800
sift-128-euclidean,DeXOR,2,0,1,0.3000,1,300,0.991800,11181.332900
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,10,0.783100,1466.056500
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,20,0.885000,2248.984400
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,30,0.927500,2900.933800
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,40,0.948600,3582.971000
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,50,0.961400,4331.672100
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,60,0.970300,4980.290000
sift-128-euclidean,DeXOR,2,0,1,0.5000,1,80,0.979300,6177.306900
