Dataset,Algorithm,ChainMaxLength,Vectors,Dim,BuildTime(s),CompressTime(s),DataCompressionRatio,IndexCompressionRatio,IndexFile
fashion-mnist-784-euclidean,DeXOR,2,60000,784,6.236799,28.064039,7.432191,6.960901,fashion-mnist-784-euclidean_DeXOR_ch2_pq.bin
fashion-mnist-784-euclidean,DeXOR,5,60000,784,7.491833,89.877854,7.630513,7.130755,fashion-mnist-784-euclidean_DeXOR_ch5_pq.bin
fashion-mnist-784-euclidean,DeXOR,-1,60000,784,7.747844,41.335196,7.716631,7.204216,fashion-mnist-784-euclidean_DeXOR_chunlim_pq.bin
fashion-mnist-784-euclidean,Gorilla,2,60000,784,7.354540,25.712867,1.754575,1.758311,fashion-mnist-784-euclidean_Gorilla_ch2_pq.bin
fashion-mnist-784-euclidean,Gorilla,5,60000,784,7.651601,80.098169,5.644841,5.398256,fashion-mnist-784-euclidean_Gorilla_ch5_pq.bin
fashion-mnist-784-euclidean,Gorilla,-1,60000,784,7.470210,30.396097,6.008580,5.721693,fashion-mnist-784-euclidean_Gorilla_chunlim_pq.bin
fashion-mnist-784-euclidean,Elf,2,60000,784,7.410514,27.509289,4.756651,4.596827,fashion-mnist-784-euclidean_Elf_ch2_pq.bin
fashion-mnist-784-euclidean,Elf,5,60000,784,7.589182,80.970065,5.613614,5.370220,fashion-mnist-784-euclidean_Elf_ch5_pq.bin
fashion-mnist-784-euclidean,Elf,-1,60000,784,7.860642,36.137952,5.673906,5.424196,fashion-mnist-784-euclidean_Elf_chunlim_pq.bin
fashion-mnist-784-euclidean,Camel,2,60000,784,7.920067,29.024549,3.812036,3.725819,fashion-mnist-784-euclidean_Camel_ch2_pq.bin
fashion-mnist-784-euclidean,Camel,5,60000,784,7.320029,86.760276,3.910801,3.817799,fashion-mnist-784-euclidean_Camel_ch5_pq.bin
fashion-mnist-784-euclidean,Camel,-1,60000,784,7.293933,40.198799,3.941748,3.846527,fashion-mnist-784-euclidean_Camel_chunlim_pq.bin
fashion-mnist-784-euclidean,DeXORPlus,2,60000,784,7.555949,27.505503,6.781220,6.399896,fashion-mnist-784-euclidean_DeXORPlus_ch2_pq.bin
fashion-mnist-784-euclidean,DeXORPlus,5,60000,784,7.075427,87.698676,6.941832,6.539172,fashion-mnist-784-euclidean_DeXORPlus_ch5_pq.bin
fashion-mnist-784-euclidean,DeXORPlus,-1,60000,784,7.939776,42.154679,7.000746,6.590051,fashion-mnist-784-euclidean_DeXORPlus_chunlim_pq.bin
gist-960-euclidean,DeXOR,2,1000000,960,321.851760,726.846453,1.201172,1.210794,gist-960-euclidean_DeXOR_ch2_pq.bin
gist-960-euclidean,DeXOR,5,1000000,960,312.270954,21841.015105,1.186768,1.196445,gist-960-euclidean_DeXOR_ch5_pq.bin
gist-960-euclidean,DeXOR,-1,1000000,960,307.525238,2497.728640,1.184272,1.193954,gist-960-euclidean_DeXOR_chunlim_pq.bin
gist-960-euclidean,Gorilla,2,1000000,960,308.671746,169.854843,0.971899,0.981865,gist-960-euclidean_Gorilla_ch2_pq.bin
gist-960-euclidean,Gorilla,5,1000000,960,264.412537,20554.283290,1.945251,1.946828,gist-960-euclidean_Gorilla_ch5_pq.bin
gist-960-euclidean,Gorilla,-1,1000000,960,289.661666,243.021401,1.988746,1.989528,gist-960-euclidean_Gorilla_chunlim_pq.bin
gist-960-euclidean,Elf,2,1000000,960,274.677550,216.072942,1.634037,1.640264,gist-960-euclidean_Elf_ch2_pq.bin
gist-960-euclidean,Elf,5,1000000,960,277.535635,23154.575621,1.890983,1.893491,gist-960-euclidean_Elf_ch5_pq.bin
gist-960-euclidean,Elf,-1,1000000,960,258.977608,432.221431,1.907022,1.909275,gist-960-euclidean_Elf_chunlim_pq.bin
gist-960-euclidean,Camel,2,1000000,960,289.788908,197.108104,3.579107,3.526689,gist-960-euclidean_Camel_ch2_pq.bin
gist-960-euclidean,Camel,5,1000000,960,299.833379,20753.101282,3.579112,3.526685,gist-960-euclidean_Camel_ch5_pq.bin
gist-960-euclidean,Camel,-1,1000000,960,307.958278,293.983188,3.579072,3.526637,gist-960-euclidean_Camel_chunlim_pq.bin
gist-960-euclidean,DeXORPlus,2,1000000,960,448.778062,533.504296,5.655529,5.465259,gist-960-euclidean_DeXORPlus_ch2_pq.bin
gist-960-euclidean,DeXORPlus,5,1000000,960,458.589351,32589.285976,5.542285,5.361485,gist-960-euclidean_DeXORPlus_ch5_pq.bin
gist-960-euclidean,DeXORPlus,-1,1000000,960,378.295934,855.536380,5.581705,5.397618,gist-960-euclidean_DeXORPlus_chunlim_pq.bin
mnist-784-euclidean,DeXOR,2,60000,784,9.036132,27.211006,12.098972,10.471261,mnist-784-euclidean_DeXOR_ch2_pq.bin
mnist-784-euclidean,DeXOR,5,60000,784,9.267711,36.056467,12.379233,10.674961,mnist-784-euclidean_DeXOR_ch5_pq.bin
mnist-784-euclidean,DeXOR,-1,60000,784,9.236529,34.862915,12.492738,10.756724,mnist-784-euclidean_DeXOR_chunlim_pq.bin
mnist-784-euclidean,Gorilla,2,60000,784,9.213459,25.890234,4.176233,4.022855,mnist-784-euclidean_Gorilla_ch2_pq.bin
mnist-784-euclidean,Gorilla,5,60000,784,9.122041,30.279525,10.350114,9.163037,mnist-784-euclidean_Gorilla_ch5_pq.bin
mnist-784-euclidean,Gorilla,-1,60000,784,9.249795,27.261138,11.264274,9.854086,mnist-784-euclidean_Gorilla_chunlim_pq.bin
mnist-784-euclidean,Elf,2,60000,784,9.253526,29.069698,8.216803,7.483580,mnist-784-euclidean_Elf_ch2_pq.bin
mnist-784-euclidean,Elf,5,60000,784,9.128752,34.873442,9.208128,8.274851,mnist-784-euclidean_Elf_ch5_pq.bin
mnist-784-euclidean,Elf,-1,60000,784,9.230162,33.448091,9.321965,8.365296,mnist-784-euclidean_Elf_chunlim_pq.bin
mnist-784-euclidean,Camel,2,60000,784,9.146537,31.163719,5.433344,5.141698,mnist-784-euclidean_Camel_ch2_pq.bin
mnist-784-euclidean,Camel,5,60000,784,9.174144,37.648540,5.561977,5.253556,mnist-784-euclidean_Camel_ch5_pq.bin
mnist-784-euclidean,Camel,-1,60000,784,9.723996,39.129700,5.593729,5.281700,mnist-784-euclidean_Camel_chunlim_pq.bin
