Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
fashion-mnist-784-euclidean,DeXOR,2,0,0,0.0000,1,10,0.959500,6828.758800
fashion-mnist-784-euclidean,DeXOR,2,0,0,0.0000,1,20,0.983600,10024.007700
fashion-mnist-784-euclidean,DeXOR,2,0,0,0.0000,1,30,0.991100,12783.814800
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,10,0.947700,1310.038900
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,20,0.977100,1965.275400
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,30,0.984200,2644.182200
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,40,0.987000,3326.369100
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,50,0.988500,3996.286500
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,60,0.989800,4657.873100
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.1000,1,80,0.991000,5989.431200
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,10,0.956500,1584.854400
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,20,0.981200,2316.821200
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,30,0.989200,3051.697000
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,40,0.992500,3773.522200
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.3000,1,10,0.958900,2083.812400
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.3000,1,20,0.982700,3083.143000
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.3000,1,30,0.990300,4169.531900
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.5000,1,10,0.959600,3742.426500
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.5000,1,20,0.983600,5432.170400
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.5000,1,30,0.991000,6839.834500
fashion-mnist-784-euclidean,DeXOR,2,1,0,0.0000,1,10,0.959500,4977.905300
fashion-mnist-784-euclidean,DeXOR,2,1,0,0.0000,1,20,0.983600,7145.351800
fashion-mnist-784-euclidean,DeXOR,2,1,0,0.0000,1,30,0.991100,8960.145700
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,10,0.947700,917.883800
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,20,0.977100,1390.527000
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,30,0.984200,1892.297500
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,40,0.987000,2377.626400
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,50,0.988500,2863.958600
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,60,0.989800,3398.219900
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.1000,1,80,0.991000,4364.420300
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,10,0.956500,1160.757700
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,20,0.981200,1709.579500
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,30,0.989200,2250.464200
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,40,0.992500,2777.672900
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.3000,1,10,0.958900,1468.097500
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.3000,1,20,0.982700,2155.562600
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.3000,1,30,0.990300,2822.478600
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.5000,1,10,0.959600,2447.320400
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.5000,1,20,0.983600,3525.418000
