Dataset,Algorithm,ChainMaxLength,UseCache,UseTLS,TlsRatio,K,ef,Queries,Recall,TotalTimePerQuery(us),DistanceTimePerQuery(us),DecodingTimePerQuery(us),GetOriginalDataTimePerQuery(us),DistanceTimeShare(%),DecodingTimeShare(%),DistanceCalls,DecodingCalls,GetOriginalDataCalls,AvgDecodingCallsPerQuery,AvgGetOriginalDataCallsPerQuery,BacktrackHops,AvgBacktrackPerGet,AvgBacktrackPerQuery
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,10,10000,0.707150,12147.735900,0.288900,10110.023100,11817.386000,0.002378,83.225575,3891590,23674187,3891590,2367.418700,389.159000,19782597,5.083423,1978.259700
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,20,10000,0.836980,18955.046100,0.864500,15810.410000,18471.061400,0.004561,83.410032,5613683,36811508,5613683,3681.150800,561.368300,31197825,5.557461,3119.782500
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,40,10000,0.925830,31510.512800,2.395200,26188.266800,30708.764200,0.007601,83.109618,8774905,60979527,8774905,6097.952700,877.490500,52204622,5.949309,5220.462200
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,80,10000,0.974630,55713.296200,2.100900,46312.957800,54329.480000,0.003771,83.127298,14732912,106533320,14732912,10653.332000,1473.291200,91800408,6.230975,9180.040800
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,120,10000,0.987550,79311.118800,3.449300,66655.750200,77440.284400,0.004349,84.043387,20303516,149129286,20303516,14912.928600,2030.351600,128825770,6.344998,12882.577000
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,200,10000,0.995330,128910.955300,7.556200,107633.559800,125847.801600,0.005862,83.494502,30630711,228154211,30630711,22815.421100,3063.071100,197523500,6.448544,19752.350000
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,400,10000,0.998810,242198.651000,6.119900,203238.602000,236598.765700,0.002527,83.914011,53544436,403566331,53544436,40356.633100,5354.443600,350021895,6.537036,35002.189500
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,600,10000,0.999110,338027.909500,6.748900,283055.741900,330150.117000,0.001997,83.737388,74010126,560391610,74010126,56039.161000,7401.012600,486381484,6.571823,48638.148400
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,800,10000,0.999140,423879.247500,11.047500,354116.031800,413771.638000,0.002606,83.541724,92892666,705161350,92892666,70516.135000,9289.266600,612268684,6.591141,61226.868400
sift-128-euclidean,DeXOR,-1,0,0,0.0000,10,1000,10000,0.999130,464754.943700,25.138800,394902.729400,453997.447300,0.005409,84.970098,110634881,841236346,110634881,84123.634600,11063.488100,730601465,6.603717,73060.146500
