Dataset,Algorithm,K,ef,Recall,TimePerQuery(us)
fashion-mnist-784-euclidean,Gorilla,1,10,0.9589,830.312
fashion-mnist-784-euclidean,Gorilla,1,20,0.9832,1194.06
fashion-mnist-784-euclidean,Gorilla,1,30,0.9905,1563.01
fashion-mnist-784-euclidean,Camel,1,10,0.9567,1003.75
fashion-mnist-784-euclidean,Camel,1,20,0.9813,1485.05
fashion-mnist-784-euclidean,Camel,1,30,0.9892,1972.42
fashion-mnist-784-euclidean,Camel,1,40,0.9923,2451.85
fashion-mnist-784-euclidean,Elf,1,10,0.9587,944.162
fashion-mnist-784-euclidean,Elf,1,20,0.984,1385.66
fashion-mnist-784-euclidean,Elf,1,30,0.9911,1821.55
gist-960-euclidean,Gorilla,1,10,0.461,2584.1
gist-960-euclidean,Gorilla,1,20,0.623,3866.06
gist-960-euclidean,Gorilla,1,30,0.693,5030.38
gist-960-euclidean,Gorilla,1,40,0.749,6242.07
gist-960-euclidean,Gorilla,1,50,0.774,7360.41
gist-960-euclidean,Gorilla,1,60,0.791,8520.08
gist-960-euclidean,Gorilla,1,80,0.828,10689.6
gist-960-euclidean,Gorilla,1,100,0.855,12781.8
gist-960-euclidean,Gorilla,1,120,0.872,14750.1
gist-960-euclidean,Gorilla,1,150,0.904,17649.4
gist-960-euclidean,Gorilla,1,200,0.932,22729.7
gist-960-euclidean,Gorilla,1,300,0.953,32540.2
gist-960-euclidean,Gorilla,1,400,0.957,41622.8
gist-960-euclidean,Camel,1,10,0.463,2724.81
gist-960-euclidean,Camel,1,20,0.595,4099.37
gist-960-euclidean,Camel,1,30,0.678,5473.73
gist-960-euclidean,Camel,1,40,0.73,6700.6
gist-960-euclidean,Camel,1,50,0.762,7978.2
gist-960-euclidean,Camel,1,60,0.791,9228.85
gist-960-euclidean,Camel,1,80,0.822,11591
gist-960-euclidean,Camel,1,100,0.861,13904.4
gist-960-euclidean,Camel,1,120,0.883,16175.2
gist-960-euclidean,Camel,1,150,0.906,19704.8
gist-960-euclidean,Camel,1,200,0.928,25036.6
gist-960-euclidean,Camel,1,300,0.949,35813.8
gist-960-euclidean,Camel,1,400,0.955,45773.1
gist-960-euclidean,Elf,1,10,0.469,2913.69
gist-960-euclidean,Elf,1,20,0.61,4514.29
gist-960-euclidean,Elf,1,30,0.7,5933.59
gist-960-euclidean,Elf,1,40,0.739,7324.1
gist-960-euclidean,Elf,1,50,0.77,8740.31
gist-960-euclidean,Elf,1,60,0.799,10102
gist-960-euclidean,Elf,1,80,0.842,12678.6
gist-960-euclidean,Elf,1,100,0.874,15200.4
gist-960-euclidean,Elf,1,120,0.89,17690.4
gist-960-euclidean,Elf,1,150,0.911,21444.1
gist-960-euclidean,Elf,1,200,0.933,27482.8
gist-960-euclidean,Elf,1,300,0.953,38980.1
gist-960-euclidean,Elf,1,400,0.965,49959.5
mnist-784-euclidean,Gorilla,1,10,0.9653,608.307
mnist-784-euclidean,Gorilla,1,20,0.9895,875.194
mnist-784-euclidean,Gorilla,1,30,0.9946,1137.27
mnist-784-euclidean,Camel,1,10,0.9671,895.731
mnist-784-euclidean,Camel,1,20,0.9903,1309.3
mnist-784-euclidean,Elf,1,10,0.9641,776.443
mnist-784-euclidean,Elf,1,20,0.99,1137.88
sift-128-euclidean,Gorilla,1,10,0.7763,294.122
sift-128-euclidean,Gorilla,1,20,0.8812,431.384
sift-128-euclidean,Gorilla,1,30,0.9194,569.275
sift-128-euclidean,Gorilla,1,40,0.9427,707.715
sift-128-euclidean,Gorilla,1,50,0.9557,849.196
sift-128-euclidean,Gorilla,1,60,0.9627,984.569
sift-128-euclidean,Gorilla,1,80,0.9733,1257.27
sift-128-euclidean,Gorilla,1,100,0.9795,1516.96
sift-128-euclidean,Gorilla,1,120,0.9818,1772.9
sift-128-euclidean,Gorilla,1,150,0.9846,2135.9
sift-128-euclidean,Gorilla,1,200,0.9861,2752.87
sift-128-euclidean,Gorilla,1,300,0.9883,3927.9
sift-128-euclidean,Gorilla,1,400,0.9878,5021.32
sift-128-euclidean,Camel,1,10,0.7754,328.94
sift-128-euclidean,Camel,1,20,0.8761,495.166
sift-128-euclidean,Camel,1,30,0.9177,657.979
sift-128-euclidean,Camel,1,40,0.9407,815.222
sift-128-euclidean,Camel,1,50,0.9555,976.994
sift-128-euclidean,Camel,1,60,0.9611,1128.93
sift-128-euclidean,Camel,1,80,0.9726,1437.07
sift-128-euclidean,Camel,1,100,0.9766,1739.87
sift-128-euclidean,Camel,1,120,0.9798,2032.33
sift-128-euclidean,Camel,1,150,0.983,2463.24
sift-128-euclidean,Camel,1,200,0.9851,3166.88
sift-128-euclidean,Camel,1,300,0.9865,4537.47
sift-128-euclidean,Camel,1,400,0.9867,5855.28
sift-128-euclidean,Elf,1,10,0.7704,329.374
sift-128-euclidean,Elf,1,20,0.8777,495.796
sift-128-euclidean,Elf,1,30,0.92,655.595
sift-128-euclidean,Elf,1,40,0.9393,808.959
sift-128-euclidean,Elf,1,50,0.954,966.133
sift-128-euclidean,Elf,1,60,0.9618,1118.78
sift-128-euclidean,Elf,1,80,0.9711,1424.66
sift-128-euclidean,Elf,1,100,0.9767,1720.69
sift-128-euclidean,Elf,1,120,0.9795,2023.33
sift-128-euclidean,Elf,1,150,0.9803,2451.7
sift-128-euclidean,Elf,1,200,0.9839,3139.3
sift-128-euclidean,Elf,1,300,0.9846,4497.62
sift-128-euclidean,Elf,1,400,0.9856,5797.71
