degree0,mean_access,median_access,node_count
1,0.12779382143810517,0.0,41207
2,0.28408980653173693,0.0,51533
3,0.32599686574960823,0.0,57430
4,0.4779005999759322,0.0,58169
5,0.5534016610708605,0.0,56590
6,0.712903462710682,0.0,54466
7,0.8508601961129705,0.0,51093
8,0.9669383199612526,0.0,47487
9,1.2020634742626444,1.0,44585
10,1.3279192273924496,1.0,41004
11,1.4239303535407155,1.0,37676
12,1.562566353906631,1.0,34851
13,1.7202746995473701,1.0,32035
14,1.902960303481913,1.0,29524
15,2.056078187342143,1.0,27319
16,2.607038935845919,2.0,28868
17,2.7811779579088274,2.0,26894
18,2.8078481116248617,2.0,24439
19,3.003055355859094,2.0,22256
20,2.9892374517374516,2.0,20720
21,3.2990903951898862,2.0,19459
22,3.335880779518533,2.0,18319
23,3.5331526752767526,2.0,17344
24,3.778044133013707,3.0,16269
25,4.062865869177908,3.0,15716
26,4.292913488493383,3.0,15339
27,4.378692988427502,3.0,14690
28,4.680135154160214,3.0,14206
29,5.163916786226686,4.0,13940
30,5.358876658199266,4.0,14172
31,6.032945736434108,4.0,14964
32,10.664494069879261,8.0,37436
