degree0_threshold,survival_probability,node_count_at_degree
1,1.0,41207
2,0.958793,51533
3,0.90726,57430
4,0.84983,58169
5,0.791661,56590
6,0.735071,54466
7,0.680605,51093
8,0.629512,47487
9,0.582025,44585
10,0.53744,41004
11,0.496436,37676
12,0.45876,34851
13,0.423909,32035
14,0.391874,29524
15,0.36235,27319
16,0.335031,28868
17,0.306163,26894
18,0.279269,24439
19,0.25483,22256
20,0.232574,20720
21,0.211854,19459
22,0.192395,18319
23,0.174076,17344
24,0.156732,16269
25,0.140463,15716
26,0.124747,15339
27,0.109408,14690
28,0.094718,14206
29,0.080512,13940
30,0.066572,14172
31,0.0524,14964
32,0.037436,37436
