degree0,mean_access,median_access,node_count
1,5.2,4.0,5
2,1.5813953488372092,1.0,43
3,2.7209302325581395,2.0,172
4,4.222879684418146,3.0,507
5,4.519039735099338,3.0,1208
6,5.152556237218814,4.0,2445
7,5.694751070060825,5.0,4439
8,6.4889144831557735,5.0,6946
9,6.976585655008892,6.0,10122
10,8.07873959741091,6.0,14059
11,8.698765292890569,7.0,17737
12,10.36521067224217,8.0,22001
13,10.27933678286815,9.0,26477
14,11.339617726547491,9.0,30711
15,12.542282689984468,10.0,34766
16,13.632453501094092,12.0,58496
17,14.840959760527587,13.0,64141
18,16.123091769098128,13.0,63213
19,16.624256663696023,14.0,61715
20,16.49031930210892,14.0,59035
21,17.501075574676882,15.0,56249
22,18.361716506166584,15.0,53271
23,18.695181946740494,16.0,50207
24,19.330747354773955,17.0,47822
25,20.82037456810229,17.0,45439
26,21.17926685607373,18.0,43293
27,21.432138049198386,18.0,40855
28,22.007259342569398,19.0,39122
29,22.801006528835693,20.0,36760
30,23.406752366153412,20.0,35395
31,24.563884796487276,21.0,34617
32,28.550707425384694,24.0,38732
