degree0_threshold,survival_probability,node_count_at_degree
1,1.0,5
2,0.999995,43
3,0.999952,172
4,0.99978,507
5,0.999273,1208
6,0.998065,2445
7,0.99562,4439
8,0.991181,6946
9,0.984235,10122
10,0.974113,14059
11,0.960054,17737
12,0.942317,22001
13,0.920316,26477
14,0.893839,30711
15,0.863128,34766
16,0.828362,58496
17,0.769866,64141
18,0.705725,63213
19,0.642512,61715
20,0.580797,59035
21,0.521762,56249
22,0.465513,53271
23,0.412242,50207
24,0.362035,47822
25,0.314213,45439
26,0.268774,43293
27,0.225481,40855
28,0.184626,39122
29,0.145504,36760
30,0.108744,35395
31,0.073349,34617
32,0.038732,38732
