Dataset,Algorithm,Strategy,CompressionRatio
gist-960-euclidean,DeXOR,IntraVector,1.133874
gist-960-euclidean,DeXOR,IDOrder,1.115574
gist-960-euclidean,Elf,IntraVector,1.901091
gist-960-euclidean,Elf,IDOrder,1.902162
gist-960-euclidean,Gorilla,IntraVector,2.002122
gist-960-euclidean,Gorilla,IDOrder,1.994100
gist-960-euclidean,Camel,IntraVector,3.664621
gist-960-euclidean,Camel,IDOrder,3.674843
gist-960-euclidean,DeXOR,GraphGuided,1.184272
gist-960-euclidean,Elf,GraphGuided,1.907022
gist-960-euclidean,Gorilla,GraphGuided,1.988746
gist-960-euclidean,Camel,GraphGuided,3.579072
fashion-mnist-784-euclidean,DeXOR,IntraVector,7.642946
fashion-mnist-784-euclidean,DeXOR,IDOrder,5.952870
fashion-mnist-784-euclidean,Elf,IntraVector,5.693758
fashion-mnist-784-euclidean,Elf,IDOrder,4.284716
fashion-mnist-784-euclidean,Gorilla,IntraVector,6.932649
fashion-mnist-784-euclidean,Gorilla,IDOrder,4.693908
fashion-mnist-784-euclidean,Camel,IntraVector,4.229034
fashion-mnist-784-euclidean,Camel,IDOrder,3.338182
fashion-mnist-784-euclidean,DeXOR,GraphGuided,7.716631
fashion-mnist-784-euclidean,Elf,GraphGuided,5.673906
fashion-mnist-784-euclidean,Gorilla,GraphGuided,6.008580
fashion-mnist-784-euclidean,Camel,GraphGuided,3.941748
deep-image-96-angular,DeXOR,IntraVector,1.080425
deep-image-96-angular,DeXOR,IDOrder,1.082409
deep-image-96-angular,Elf,IntraVector,1.586945
deep-image-96-angular,Elf,IDOrder,1.616811
deep-image-96-angular,Gorilla,IntraVector,1.604436
deep-image-96-angular,Gorilla,IDOrder,1.641106
deep-image-96-angular,Camel,IntraVector,3.276849
deep-image-96-angular,Camel,IDOrder,3.359197
deep-image-96-angular,DeXOR,GraphGuided,1.095395
deep-image-96-angular,Elf,GraphGuided,1.739938
deep-image-96-angular,Gorilla,GraphGuided,1.759615
deep-image-96-angular,Camel,GraphGuided,3.281775
mnist-784-euclidean,DeXOR,IntraVector,12.039406
mnist-784-euclidean,DeXOR,IDOrder,9.911181
mnist-784-euclidean,Elf,IntraVector,9.938841
mnist-784-euclidean,Elf,IDOrder,7.393583
mnist-784-euclidean,Gorilla,IntraVector,13.755200
mnist-784-euclidean,Gorilla,IDOrder,9.324595
mnist-784-euclidean,Camel,IntraVector,5.754740
mnist-784-euclidean,Camel,IDOrder,4.957198
mnist-784-euclidean,DeXOR,GraphGuided,12.492738
mnist-784-euclidean,Elf,GraphGuided,9.321965
mnist-784-euclidean,Gorilla,GraphGuided,11.264274
mnist-784-euclidean,Camel,GraphGuided,5.593729
sift-128-euclidean,DeXOR,IntraVector,5.669584
sift-128-euclidean,DeXOR,IDOrder,5.594866
sift-128-euclidean,Elf,IntraVector,4.041778
sift-128-euclidean,Elf,IDOrder,3.794142
sift-128-euclidean,Gorilla,IntraVector,4.037687
sift-128-euclidean,Gorilla,IDOrder,3.876540
sift-128-euclidean,Camel,IntraVector,3.209057
sift-128-euclidean,Camel,IDOrder,3.059554
sift-128-euclidean,DeXOR,GraphGuided,6.569291
sift-128-euclidean,Elf,GraphGuided,4.599940
sift-128-euclidean,Gorilla,GraphGuided,4.440200
sift-128-euclidean,Camel,GraphGuided,3.819896
