Dataset,Strategy,BinCenter,BinCount
gist-960-euclidean,IntraVector,-1.447182,0
gist-960-euclidean,IntraVector,-1.417946,0
gist-960-euclidean,IntraVector,-1.388710,0
gist-960-euclidean,IntraVector,-1.359474,0
gist-960-euclidean,IntraVector,-1.330238,0
gist-960-euclidean,IntraVector,-1.301002,0
gist-960-euclidean,IntraVector,-1.271766,1
gist-960-euclidean,IntraVector,-1.242530,0
gist-960-euclidean,IntraVector,-1.213294,1
gist-960-euclidean,IntraVector,-1.184058,2
gist-960-euclidean,IntraVector,-1.154822,0
gist-960-euclidean,IntraVector,-1.125586,1
gist-960-euclidean,IntraVector,-1.096350,0
gist-960-euclidean,IntraVector,-1.067114,2
gist-960-euclidean,IntraVector,-1.037878,1
gist-960-euclidean,IntraVector,-1.008642,1
gist-960-euclidean,IntraVector,-0.979406,1
gist-960-euclidean,IntraVector,-0.950170,6
gist-960-euclidean,IntraVector,-0.920934,13
gist-960-euclidean,IntraVector,-0.891698,11
gist-960-euclidean,IntraVector,-0.862462,25
gist-960-euclidean,IntraVector,-0.833226,20
gist-960-euclidean,IntraVector,-0.803990,39
gist-960-euclidean,IntraVector,-0.774754,69
gist-960-euclidean,IntraVector,-0.745518,85
gist-960-euclidean,IntraVector,-0.716282,148
gist-960-euclidean,IntraVector,-0.687046,200
gist-960-euclidean,IntraVector,-0.657810,288
gist-960-euclidean,IntraVector,-0.628574,459
gist-960-euclidean,IntraVector,-0.599338,664
gist-960-euclidean,IntraVector,-0.570102,1065
gist-960-euclidean,IntraVector,-0.540866,1618
gist-960-euclidean,IntraVector,-0.511630,2362
gist-960-euclidean,IntraVector,-0.482394,3705
gist-960-euclidean,IntraVector,-0.453158,5628
gist-960-euclidean,IntraVector,-0.423922,9038
gist-960-euclidean,IntraVector,-0.394686,14319
gist-960-euclidean,IntraVector,-0.365450,23927
gist-960-euclidean,IntraVector,-0.336214,41207
gist-960-euclidean,IntraVector,-0.306978,72994
gist-960-euclidean,IntraVector,-0.277742,136173
gist-960-euclidean,IntraVector,-0.248506,269512
gist-960-euclidean,IntraVector,-0.219270,554606
gist-960-euclidean,IntraVector,-0.190034,1204116
gist-960-euclidean,IntraVector,-0.160798,2780305
gist-960-euclidean,IntraVector,-0.131562,6726139
gist-960-euclidean,IntraVector,-0.102326,17060154
gist-960-euclidean,IntraVector,-0.073090,44791902
gist-960-euclidean,IntraVector,-0.043854,116475681
gist-960-euclidean,IntraVector,-0.014618,286670745
gist-960-euclidean,IntraVector,0.014618,291378984
gist-960-euclidean,IntraVector,0.043854,118009330
gist-960-euclidean,IntraVector,0.073090,44665581
gist-960-euclidean,IntraVector,0.102326,16731072
gist-960-euclidean,IntraVector,0.131562,6492811
gist-960-euclidean,IntraVector,0.160798,2654124
gist-960-euclidean,IntraVector,0.190034,1139503
gist-960-euclidean,IntraVector,0.219270,522857
gist-960-euclidean,IntraVector,0.248506,255047
gist-960-euclidean,IntraVector,0.277742,130004
gist-960-euclidean,IntraVector,0.306978,70475
gist-960-euclidean,IntraVector,0.336214,39716
