Dataset,Algorithm,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,HNSWPQ_4,10,10,0.86525,0.227331
fashion-mnist-784-euclidean,HNSWPQ_4,10,20,0.8918,0.248498
fashion-mnist-784-euclidean,HNSWPQ_4,10,40,0.89845,0.294066
fashion-mnist-784-euclidean,HNSWPQ_4,10,80,0.90075,0.35032
fashion-mnist-784-euclidean,HNSWPQ_4,10,120,0.90109,0.407834
fashion-mnist-784-euclidean,HNSWPQ_4,10,200,0.90125,0.53
fashion-mnist-784-euclidean,HNSWPQ_4,10,400,0.90146,0.793447
fashion-mnist-784-euclidean,HNSWPQ_4,10,600,0.90147,1.04116
fashion-mnist-784-euclidean,HNSWPQ_4,10,800,0.90152,1.34268
fashion-mnist-784-euclidean,HNSWPQ_4,10,1000,0.90152,1.66871
fashion-mnist-784-euclidean,HNSWPQ_8,10,10,0.78937,0.145829
fashion-mnist-784-euclidean,HNSWPQ_8,10,20,0.81033,0.162189
fashion-mnist-784-euclidean,HNSWPQ_8,10,40,0.81589,0.185757
fashion-mnist-784-euclidean,HNSWPQ_8,10,80,0.81717,0.243045
fashion-mnist-784-euclidean,HNSWPQ_8,10,120,0.8174,0.258627
fashion-mnist-784-euclidean,HNSWPQ_8,10,200,0.81759,0.326691
fashion-mnist-784-euclidean,HNSWPQ_8,10,400,0.81783,0.510699
fashion-mnist-784-euclidean,HNSWPQ_8,10,600,0.81794,0.714595
fashion-mnist-784-euclidean,HNSWPQ_8,10,800,0.81795,0.978007
fashion-mnist-784-euclidean,HNSWPQ_8,10,1000,0.81796,1.18344
fashion-mnist-784-euclidean,HNSWSQ_8,10,10,0.9226,0.0746685
fashion-mnist-784-euclidean,HNSWSQ_8,10,20,0.96503,0.111203
fashion-mnist-784-euclidean,HNSWSQ_8,10,40,0.97776,0.174948
fashion-mnist-784-euclidean,HNSWSQ_8,10,80,0.98069,0.28609
fashion-mnist-784-euclidean,HNSWSQ_8,10,120,0.98133,0.337858
fashion-mnist-784-euclidean,HNSWSQ_8,10,200,0.9816,0.490144
fashion-mnist-784-euclidean,HNSWSQ_8,10,400,0.98188,0.871277
fashion-mnist-784-euclidean,HNSWSQ_8,10,600,0.98199,1.25517
