Dataset,Algorithm,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,HNSWPQ_4,1,10,0.8208,0.295957
fashion-mnist-784-euclidean,HNSWPQ_4,1,20,0.8363,0.305974
fashion-mnist-784-euclidean,HNSWPQ_4,1,40,0.8422,0.324724
fashion-mnist-784-euclidean,HNSWPQ_4,1,80,0.8447,0.392962
fashion-mnist-784-euclidean,HNSWPQ_4,1,120,0.8457,0.450396
fashion-mnist-784-euclidean,HNSWPQ_4,1,200,0.8458,0.552046
fashion-mnist-784-euclidean,HNSWPQ_4,1,400,0.8462,0.821497
fashion-mnist-784-euclidean,HNSWPQ_4,1,600,0.8463,1.08319
fashion-mnist-784-euclidean,HNSWPQ_4,1,800,0.8464,1.3758
fashion-mnist-784-euclidean,HNSWPQ_4,1,1000,0.8464,1.68769
fashion-mnist-784-euclidean,HNSWPQ_8,1,10,0.7099,0.153691
fashion-mnist-784-euclidean,HNSWPQ_8,1,20,0.7239,0.156982
fashion-mnist-784-euclidean,HNSWPQ_8,1,40,0.7293,0.183412
fashion-mnist-784-euclidean,HNSWPQ_8,1,80,0.7314,0.226181
fashion-mnist-784-euclidean,HNSWPQ_8,1,120,0.7317,0.270516
fashion-mnist-784-euclidean,HNSWPQ_8,1,200,0.7321,0.336722
fashion-mnist-784-euclidean,HNSWPQ_8,1,400,0.7328,0.507949
fashion-mnist-784-euclidean,HNSWPQ_8,1,600,0.7328,0.716858
fashion-mnist-784-euclidean,HNSWPQ_8,1,800,0.7328,0.961272
fashion-mnist-784-euclidean,HNSWPQ_8,1,1000,0.7328,1.18064
fashion-mnist-784-euclidean,HNSWSQ_8,1,10,0.9405,0.0775654
fashion-mnist-784-euclidean,HNSWSQ_8,1,20,0.9633,0.106355
fashion-mnist-784-euclidean,HNSWSQ_8,1,40,0.9709,0.167328
fashion-mnist-784-euclidean,HNSWSQ_8,1,80,0.9745,0.275468
fashion-mnist-784-euclidean,HNSWSQ_8,1,120,0.9752,0.351061
fashion-mnist-784-euclidean,HNSWSQ_8,1,200,0.976,0.501789
fashion-mnist-784-euclidean,HNSWSQ_8,1,400,0.9763,0.849503
fashion-mnist-784-euclidean,HNSWSQ_8,1,600,0.9765,1.18593
