Dataset,Algorithm,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,HNSWPQ_1,10,10,0.93231,1.07494
fashion-mnist-784-euclidean,HNSWPQ_1,10,20,0.97741,1.19105
fashion-mnist-784-euclidean,HNSWPQ_1,10,40,0.99175,1.38432
fashion-mnist-784-euclidean,HNSWPQ_1,10,80,0.99551,1.75602
fashion-mnist-784-euclidean,HNSWPQ_1,10,120,0.99617,2.06065
fashion-mnist-784-euclidean,HNSWPQ_1,10,200,0.99646,2.61167
fashion-mnist-784-euclidean,HNSWPQ_1,10,400,0.99666,3.68053
fashion-mnist-784-euclidean,HNSWPQ_1,10,600,0.99683,4.69855
fashion-mnist-784-euclidean,HNSWPQ_1,10,800,0.99685,5.59348
fashion-mnist-784-euclidean,HNSWPQ_1,10,1000,0.99687,6.53063
fashion-mnist-784-euclidean,HNSWPQ_2,10,10,0.91309,0.532527
fashion-mnist-784-euclidean,HNSWPQ_2,10,20,0.95007,0.581113
fashion-mnist-784-euclidean,HNSWPQ_2,10,40,0.96127,0.666742
fashion-mnist-784-euclidean,HNSWPQ_2,10,80,0.96387,0.793896
fashion-mnist-784-euclidean,HNSWPQ_2,10,120,0.96428,0.914602
fashion-mnist-784-euclidean,HNSWPQ_2,10,200,0.9645,1.12002
fashion-mnist-784-euclidean,HNSWPQ_2,10,400,0.96472,1.58598
fashion-mnist-784-euclidean,HNSWPQ_2,10,600,0.9648,2.0446
fashion-mnist-784-euclidean,HNSWPQ_2,10,800,0.96482,2.49688
fashion-mnist-784-euclidean,HNSWPQ_2,10,1000,0.96484,2.94422
fashion-mnist-784-euclidean,HNSWSQ_8,10,10,0.9226,0.0694366
fashion-mnist-784-euclidean,HNSWSQ_8,10,20,0.96503,0.101275
fashion-mnist-784-euclidean,HNSWSQ_8,10,40,0.97776,0.156718
fashion-mnist-784-euclidean,HNSWSQ_8,10,80,0.98069,0.249018
fashion-mnist-784-euclidean,HNSWSQ_8,10,120,0.98133,0.331858
fashion-mnist-784-euclidean,HNSWSQ_8,10,200,0.9816,0.482929
fashion-mnist-784-euclidean,HNSWSQ_8,10,400,0.98188,0.819101
fashion-mnist-784-euclidean,HNSWSQ_8,10,600,0.98199,1.1759
fashion-mnist-784-euclidean,HNSWSQ_8,10,800,0.98199,1.55364
fashion-mnist-784-euclidean,HNSWSQ_8,10,1000,0.98199,1.93318
gist-960-euclidean,HNSWPQ_1,10,10,0.4241,1.99389
gist-960-euclidean,HNSWPQ_1,10,20,0.5597,2.51032
gist-960-euclidean,HNSWPQ_1,10,40,0.6948,3.45313
gist-960-euclidean,HNSWPQ_1,10,80,0.8027,5.22308
gist-960-euclidean,HNSWPQ_1,10,120,0.8539,6.8811
gist-960-euclidean,HNSWPQ_1,10,200,0.8995,10.1122
gist-960-euclidean,HNSWPQ_1,10,400,0.9398,17.3818
gist-960-euclidean,HNSWPQ_1,10,600,0.9512,23.8527
gist-960-euclidean,HNSWPQ_1,10,800,0.9592,30.0716
gist-960-euclidean,HNSWPQ_1,10,1000,0.9628,36.0438
gist-960-euclidean,HNSWPQ_2,10,10,0.42,0.971404
gist-960-euclidean,HNSWPQ_2,10,20,0.5476,1.21967
gist-960-euclidean,HNSWPQ_2,10,40,0.6702,1.65796
gist-960-euclidean,HNSWPQ_2,10,80,0.774,2.53665
gist-960-euclidean,HNSWPQ_2,10,120,0.8155,3.29986
gist-960-euclidean,HNSWPQ_2,10,200,0.8542,4.83799
gist-960-euclidean,HNSWPQ_2,10,400,0.8841,8.34262
gist-960-euclidean,HNSWPQ_2,10,600,0.8935,11.4945
gist-960-euclidean,HNSWPQ_2,10,800,0.8985,14.6897
gist-960-euclidean,HNSWPQ_2,10,1000,0.9006,17.7395
gist-960-euclidean,HNSWSQ_8,10,10,0.4204,0.273804
gist-960-euclidean,HNSWSQ_8,10,20,0.5562,0.427184
gist-960-euclidean,HNSWSQ_8,10,40,0.6885,0.711921
gist-960-euclidean,HNSWSQ_8,10,80,0.7988,1.22184
gist-960-euclidean,HNSWSQ_8,10,120,0.8465,1.72766
gist-960-euclidean,HNSWSQ_8,10,200,0.8951,2.70329
gist-960-euclidean,HNSWSQ_8,10,400,0.9352,4.96717
gist-960-euclidean,HNSWSQ_8,10,600,0.9476,7.00875
gist-960-euclidean,HNSWSQ_8,10,800,0.9544,9.12703
gist-960-euclidean,HNSWSQ_8,10,1000,0.9575,11.0813
mnist-784-euclidean,HNSWPQ_1,10,10,0.92707,1.18219
mnist-784-euclidean,HNSWPQ_1,10,20,0.97733,1.36361
mnist-784-euclidean,HNSWPQ_1,10,40,0.9918,1.67728
mnist-784-euclidean,HNSWPQ_1,10,80,0.99514,2.20169
mnist-784-euclidean,HNSWPQ_1,10,120,0.99567,2.77745
mnist-784-euclidean,HNSWPQ_1,10,200,0.9961,4.18883
mnist-784-euclidean,HNSWPQ_1,10,400,0.99626,6.4183
mnist-784-euclidean,HNSWPQ_1,10,600,0.99628,8.15957
mnist-784-euclidean,HNSWPQ_1,10,800,0.99628,9.73184
mnist-784-euclidean,HNSWPQ_1,10,1000,0.9963,10.0613
mnist-784-euclidean,HNSWPQ_2,10,10,0.91615,0.560491
mnist-784-euclidean,HNSWPQ_2,10,20,0.96113,0.613598
mnist-784-euclidean,HNSWPQ_2,10,40,0.97384,0.697194
mnist-784-euclidean,HNSWPQ_2,10,80,0.97665,0.857776
mnist-784-euclidean,HNSWPQ_2,10,120,0.97712,0.994197
mnist-784-euclidean,HNSWPQ_2,10,200,0.97734,1.27444
mnist-784-euclidean,HNSWPQ_2,10,400,0.97751,1.90692
mnist-784-euclidean,HNSWPQ_2,10,600,0.97754,2.41447
mnist-784-euclidean,HNSWPQ_2,10,800,0.97756,2.87463
