Dataset,Type,Algorithm,NList,Param,K,NProbe,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,normal,IVFFlat,1024,0,1,1,0.582600,0.049211
fashion-mnist-784-euclidean,normal,IVFFlat,1024,0,1,2,0.772400,0.073276
fashion-mnist-784-euclidean,normal,IVFFlat,1024,0,1,4,0.910700,0.125093
fashion-mnist-784-euclidean,normal,IVFFlat,1024,0,1,8,0.973200,0.159583
fashion-mnist-784-euclidean,normal,IVFFlat,1024,0,1,16,0.994500,0.291240
gist-960-euclidean,normal,IVFFlat,1024,0,1,1,0.280000,0.425117
gist-960-euclidean,normal,IVFFlat,1024,0,1,2,0.425000,0.829797
gist-960-euclidean,normal,IVFFlat,1024,0,1,4,0.585000,1.679538
gist-960-euclidean,normal,IVFFlat,1024,0,1,8,0.724000,3.346141
gist-960-euclidean,normal,IVFFlat,1024,0,1,16,0.837000,6.760646
gist-960-euclidean,normal,IVFFlat,1024,0,1,32,0.926000,13.511021
gist-960-euclidean,normal,IVFFlat,1024,0,1,48,0.961000,20.117953
gist-960-euclidean,normal,IVFFlat,1024,0,1,64,0.973000,31.893542
mnist-784-euclidean,normal,IVFFlat,1024,0,1,1,0.548800,0.062636
mnist-784-euclidean,normal,IVFFlat,1024,0,1,2,0.744800,0.084593
mnist-784-euclidean,normal,IVFFlat,1024,0,1,4,0.893500,0.131476
mnist-784-euclidean,normal,IVFFlat,1024,0,1,8,0.967900,0.217946
mnist-784-euclidean,normal,IVFFlat,1024,0,1,16,0.991300,0.398409
sift-128-euclidean,normal,IVFFlat,1024,0,1,1,0.420800,0.074346
sift-128-euclidean,normal,IVFFlat,1024,0,1,2,0.594300,0.141324
sift-128-euclidean,normal,IVFFlat,1024,0,1,4,0.750600,0.271410
sift-128-euclidean,normal,IVFFlat,1024,0,1,8,0.875900,0.532005
sift-128-euclidean,normal,IVFFlat,1024,0,1,16,0.948600,1.052635
sift-128-euclidean,normal,IVFFlat,1024,0,1,32,0.979300,2.068166
sift-128-euclidean,normal,IVFFlat,1024,0,1,48,0.987100,3.062148
sift-128-euclidean,normal,IVFFlat,1024,0,1,64,0.989900,3.117565
bigann_1M,bigann,IVFFlat,1024,0,1,1,0.430600,0.049890
bigann_1M,bigann,IVFFlat,1024,0,1,2,0.600700,0.093052
bigann_1M,bigann,IVFFlat,1024,0,1,4,0.754900,0.180851
bigann_1M,bigann,IVFFlat,1024,0,1,8,0.874300,0.350841
bigann_1M,bigann,IVFFlat,1024,0,1,16,0.947900,0.682725
bigann_1M,bigann,IVFFlat,1024,0,1,32,0.984000,1.365267
bigann_1M,bigann,IVFFlat,1024,0,1,48,0.993400,2.027791
bigann_10M,bigann,IVFFlat,1024,0,1,1,0.480400,0.453707
bigann_10M,bigann,IVFFlat,1024,0,1,2,0.656200,0.894573
bigann_10M,bigann,IVFFlat,1024,0,1,4,0.802700,1.807624
bigann_10M,bigann,IVFFlat,1024,0,1,8,0.907500,3.664979
bigann_10M,bigann,IVFFlat,1024,0,1,16,0.965600,7.616263
bigann_10M,bigann,IVFFlat,1024,0,1,32,0.989500,13.428729
bigann_10M,bigann,IVFFlat,1024,0,1,48,0.996000,19.793691
