internal_id,level,access_count,degree0
0,0,1,30
1,0,5,29
2,0,8,32
3,0,2,31
4,0,0,17
5,0,11,32
6,0,2,27
7,0,0,30
8,0,7,32
9,1,0,15
10,0,3,26
11,0,1,16
12,0,3,32
13,0,23,32
14,0,0,23
15,0,1,29
16,0,1,14
17,0,5,30
18,0,0,28
19,0,0,21
20,0,0,12
21,0,3,22
22,0,3,32
23,0,0,20
24,0,0,14
25,0,2,21
26,0,2,29
27,0,0,11
28,0,0,14
29,1,0,18
30,0,8,32
31,0,11,31
32,0,8,32
33,0,0,11
34,0,11,31
35,0,3,24
36,0,12,32
37,0,0,25
38,1,0,17
39,1,2,18
40,0,1,10
41,0,3,30
42,0,8,20
43,0,1,31
44,0,2,22
45,0,0,12
46,0,0,10
47,0,4,27
48,0,2,30
49,0,7,28
50,0,7,32
51,0,8,32
52,0,0,32
53,0,6,14
54,0,1,28
55,0,11,32
56,0,0,23
57,0,3,19
58,0,0,8
59,1,13,32
60,0,0,9
61,0,3,30
62,0,1,15
63,0,0,3
64,0,0,18
65,0,0,20
66,0,0,12
67,0,0,11
68,0,1,25
69,0,6,27
70,0,1,26
71,0,1,14
72,0,3,22
73,0,1,29
74,0,1,23
75,0,0,14
76,0,25,32
77,0,3,22
78,0,0,22
79,0,0,31
80,0,3,27
81,0,1,28
82,0,0,32
83,0,11,27
84,1,0,25
85,0,0,16
86,0,2,32
87,0,0,16
88,0,0,13
89,0,2,25
90,0,0,18
91,0,8,23
92,0,2,29
93,0,2,28
94,0,7,31
95,0,4,31
96,0,2,29
97,0,0,20
98,0,3,32
99,0,1,25
100,0,9,32
101,0,0,25
102,0,1,25
103,0,1,32
104,0,4,25
105,0,0,11
106,0,5,22
107,0,0,32
108,0,0,25
109,0,2,12
110,0,10,32
111,0,0,21
112,0,0,17
113,0,10,32
114,0,17,32
115,2,16,32
116,0,0,18
117,0,11,30
118,0,1,12
119,0,0,15
120,0,0,26
121,0,0,13
122,0,1,32
123,0,5,28
124,0,6,28
125,0,1,23
126,0,0,28
127,0,0,11
128,1,5,27
129,0,1,19
130,0,10,32
131,0,0,19
132,0,0,7
133,0,6,26
134,0,0,25
135,0,6,22
136,0,0,28
137,0,2,32
138,0,0,25
139,0,0,22
140,0,21,32
141,0,10,32
142,0,27,30
143,0,1,24
144,0,4,11
145,0,23,32
146,0,5,32
147,0,1,30
148,0,0,10
149,0,0,13
150,0,1,24
151,0,0,23
152,0,3,25
153,0,0,23
154,0,1,28
155,0,0,15
156,0,2,23
157,0,0,25
158,0,2,21
159,1,2,31
160,0,6,27
161,0,3,19
162,0,9,22
163,0,0,22
164,0,2,24
165,1,1,28
166,0,3,18
167,0,2,21
168,0,0,3
169,0,3,23
170,0,3,21
171,0,0,10
172,0,2,15
173,1,0,5
174,1,11,30
175,0,1,20
176,0,3,18
177,1,0,16
178,0,0,28
179,0,0,23
180,0,1,29
181,0,0,25
182,0,0,32
183,1,0,20
184,0,2,9
185,0,0,15
186,0,3,30
187,0,0,22
188,0,5,17
189,0,8,32
190,0,0,18
191,0,0,31
192,0,0,30
193,0,0,31
194,0,3,24
195,0,1,28
196,0,21,32
197,0,19,31
198,0,10,32
199,0,0,18
200,0,0,25
201,0,6,32
202,1,0,25
203,0,1,28
204,1,5,31
205,0,1,30
206,0,10,21
207,0,1,23
208,1,1,21
209,0,3,21
210,0,1,20
211,0,1,30
212,1,22,32
213,0,0,16
214,0,0,4
215,0,0,16
216,0,1,27
217,0,0,13
218,0,0,14
219,0,1,23
220,0,2,20
221,0,2,29
222,0,29,32
223,0,6,27
224,0,0,13
225,0,10,31
226,0,0,21
227,0,12,32
228,0,8,32
229,0,6,17
230,0,0,19
231,1,2,15
232,0,2,31
233,0,0,20
234,0,0,28
235,0,1,5
236,0,8,31
237,0,0,16
238,0,1,12
239,0,0,30
240,0,7,21
241,1,0,31
242,0,6,32
243,1,4,32
244,0,1,28
245,0,2,24
246,0,2,12
247,0,9,32
248,0,11,32
249,0,4,28
250,0,3,32
251,0,1,14
252,0,0,31
253,0,2,18
254,0,0,11
255,0,0,31
256,0,2,20
257,0,2,21
258,0,1,7
259,0,0,19
260,0,0,16
261,0,0,4
262,0,2,25
263,0,1,23
264,0,0,20
265,0,0,30
266,0,6,31
267,0,5,32
268,0,2,23
269,1,6,32
270,0,2,30
271,0,3,24
272,0,0,20
273,0,1,13
274,0,0,32
275,0,1,25
276,0,0,29
277,0,0,32
278,0,12,32
279,1,0,30
280,0,1,24
281,0,0,25
282,0,0,17
283,0,0,12
284,0,0,31
285,0,2,20
286,0,5,20
287,0,2,30
288,0,5,27
289,0,0,11
290,0,1,10
291,0,1,32
292,0,17,30
293,0,0,13
294,0,2,24
295,0,0,32
296,0,0,14
297,0,12,28
298,0,0,8
299,0,7,32
300,0,0,21
301,0,2,13
302,0,0,21
303,1,8,27
304,0,2,31
305,0,1,20
306,0,2,8
307,0,0,17
308,0,0,14
309,0,0,18
310,0,4,18
311,0,2,20
312,0,1,26
313,0,0,10
314,0,2,32
315,0,0,9
316,0,0,15
317,0,0,1
318,0,0,1
319,0,2,31
320,0,1,30
321,0,6,31
322,0,1,23
323,0,1,28
324,0,5,27
325,0,4,12
326,0,0,10
327,0,0,11
328,0,0,22
329,0,0,19
330,0,4,31
331,0,2,26
332,0,7,19
333,0,0,22
334,0,3,31
335,0,0,28
336,0,1,28
337,0,0,16
338,0,0,22
339,0,2,27
340,0,2,29
341,1,5,32
342,0,2,19
343,0,0,1
344,0,0,23
345,0,3,27
346,0,1,30
347,0,1,20
348,0,1,23
349,0,0,8
350,0,0,21
351,0,3,25
352,0,0,13
353,0,2,31
354,0,4,28
355,0,0,23
356,0,0,23
357,0,1,12
358,0,0,1
359,0,0,31
360,0,0,4
361,0,2,28
362,0,13,27
363,0,1,27
364,1,1,11
365,0,2,27
366,1,0,24
367,1,11,26
368,0,15,32
369,0,8,32
370,1,0,18
371,0,3,26
372,1,1,26
373,0,0,24
374,0,2,26
375,0,4,17
376,0,11,32
377,0,2,29
378,0,2,26
379,0,2,24
380,0,9,32
381,0,0,22
382,0,0,16
383,0,1,26
384,0,0,17
385,0,0,19
386,0,0,28
387,0,0,16
388,0,15,30
389,0,2,12
390,0,1,29
391,0,0,26
392,1,3,26
393,0,0,8
394,0,1,32
395,1,5,20
396,0,2,24
397,0,0,12
398,0,3,24
399,0,10,23
400,0,6,28
401,0,0,18
402,0,0,9
403,0,10,13
404,0,1,22
405,0,1,31
406,0,6,20
407,0,2,17
408,0,0,1
409,0,3,21
410,0,0,6
411,0,0,24
412,0,2,28
413,0,0,11
414,0,0,26
415,0,11,23
