internal_id,level,access_count,degree0
0,0,8,15
1,0,14,21
2,0,25,26
3,0,9,15
4,0,14,20
5,0,17,30
6,0,25,26
7,0,25,28
8,0,37,27
9,0,39,30
10,0,23,31
11,1,31,26
12,0,26,28
13,0,21,19
14,0,37,20
15,0,32,29
16,0,1,16
17,0,3,27
18,0,11,25
19,0,20,28
20,0,25,19
21,0,12,32
22,0,8,19
23,0,13,17
24,0,24,27
25,0,20,27
26,0,17,31
27,0,46,29
28,0,9,11
29,1,29,31
30,0,8,8
31,0,16,18
32,0,22,26
33,0,10,32
34,0,32,27
35,0,13,28
36,0,37,22
37,0,20,29
38,1,15,22
39,1,28,28
40,0,7,21
41,0,11,14
42,0,16,26
43,0,36,25
44,0,39,25
45,0,18,31
46,0,20,25
47,0,23,30
48,0,32,26
49,0,14,29
50,0,5,14
51,0,62,30
52,0,12,32
53,0,7,29
54,0,40,31
55,0,21,28
56,0,25,22
57,0,39,27
58,0,17,31
59,1,25,11
60,0,51,29
61,0,77,31
62,0,12,29
63,0,9,32
64,0,4,31
65,0,16,30
66,0,12,31
67,0,22,24
68,0,24,23
69,0,2,26
70,0,51,29
71,0,54,31
72,0,12,27
73,0,18,30
74,0,15,27
75,0,8,32
76,0,27,31
77,0,20,30
78,0,15,18
79,0,36,18
80,0,2,25
81,0,7,26
82,0,15,28
83,0,22,24
84,1,22,32
85,0,25,23
86,0,25,27
87,0,2,24
88,0,15,17
89,0,23,27
90,0,10,17
91,0,23,24
92,0,20,17
93,0,15,12
94,0,10,28
95,0,5,26
96,0,26,32
97,0,12,30
98,0,33,21
99,0,36,32
100,0,17,32
101,0,7,23
102,0,46,31
103,0,14,30
104,0,20,23
105,0,7,17
106,0,39,31
107,0,20,21
108,0,40,14
109,0,17,30
110,0,8,31
111,0,7,19
112,0,37,22
113,0,19,24
114,0,18,15
115,2,152,25
116,0,7,20
117,0,20,26
118,0,10,10
119,0,27,29
120,0,17,30
121,0,6,19
122,0,23,28
123,0,4,13
124,0,22,24
125,0,30,26
126,0,54,29
127,0,49,31
128,1,70,21
129,0,38,27
130,0,16,30
131,0,41,23
132,0,20,25
133,0,17,16
134,0,0,17
135,0,17,24
136,0,16,30
137,0,19,28
138,0,25,27
139,0,19,25
140,0,29,25
141,0,2,28
142,0,11,18
143,0,20,32
144,0,23,32
145,0,21,26
146,0,27,24
147,0,32,31
148,0,23,17
149,0,41,28
150,0,16,24
151,0,61,23
152,0,30,28
153,0,46,23
154,0,15,27
155,0,18,22
156,0,6,31
157,0,12,20
158,0,31,30
159,1,19,25
160,0,25,7
161,0,29,25
162,0,20,16
163,0,14,19
164,0,8,19
165,1,47,32
166,0,25,30
167,0,15,18
168,0,2,27
169,0,24,31
170,0,11,30
171,0,39,23
172,0,34,20
173,1,51,20
174,1,26,32
175,0,17,20
176,0,14,19
177,1,7,28
178,0,7,26
179,0,3,18
180,0,55,28
181,0,18,18
182,0,42,31
183,1,41,31
184,0,25,28
185,0,3,14
186,0,25,25
187,0,41,22
188,0,17,31
189,0,49,30
190,0,17,16
191,0,20,19
192,0,31,23
193,0,18,32
194,0,8,20
195,0,22,29
196,0,33,32
197,0,10,29
198,0,15,24
199,0,0,11
200,0,40,11
201,0,13,19
202,1,39,23
203,0,15,22
204,1,7,22
205,0,19,19
206,0,15,18
207,0,12,29
208,1,29,29
209,0,51,32
210,0,15,14
211,0,14,32
212,1,19,21
213,0,25,31
214,0,20,26
215,0,7,23
216,0,34,31
217,0,15,22
218,0,32,19
219,0,27,32
220,0,14,15
221,0,32,21
222,0,6,14
223,0,23,31
224,0,27,27
225,0,26,28
226,0,22,21
227,0,49,31
228,0,15,26
229,0,11,30
230,0,27,24
231,1,63,27
232,0,11,27
233,0,27,30
234,0,40,32
235,0,12,30
236,0,12,23
237,0,78,32
238,0,31,26
239,0,18,26
240,0,3,31
241,1,10,18
242,0,24,32
243,1,9,24
244,0,20,13
245,0,6,28
246,0,15,31
247,0,40,32
248,0,8,12
249,0,12,26
250,0,9,18
251,0,5,18
252,0,36,29
253,0,37,27
254,0,45,32
255,0,44,16
256,0,6,13
257,0,9,28
258,0,9,26
259,0,11,18
260,0,8,13
261,0,22,29
262,0,47,31
263,0,1,31
264,0,17,26
265,0,39,31
266,0,27,32
267,0,18,20
268,0,4,20
269,1,30,21
270,0,16,28
271,0,23,32
272,0,13,18
273,0,19,24
274,0,31,32
275,0,34,22
276,0,9,32
277,0,16,25
278,0,7,31
279,1,20,12
280,0,27,28
281,0,54,23
282,0,7,21
283,0,18,32
284,0,5,21
285,0,34,32
286,0,19,29
287,0,24,28
288,0,6,30
289,0,24,23
290,0,13,28
291,0,20,30
292,0,15,19
293,0,10,25
294,0,33,22
295,0,32,23
296,0,51,32
297,0,58,32
298,0,4,30
299,0,11,30
300,0,31,32
301,0,13,26
302,0,19,16
303,1,21,14
304,0,20,16
305,0,28,29
306,0,17,27
307,0,63,31
308,0,9,25
309,0,22,28
310,0,19,25
311,0,13,30
312,0,8,27
313,0,9,27
314,0,11,27
315,0,17,24
316,0,20,26
317,0,14,24
318,0,4,11
319,0,29,31
320,0,17,22
321,0,12,24
322,0,16,26
323,0,30,31
324,0,47,32
325,0,13,26
326,0,15,19
327,0,10,28
328,0,41,23
329,0,26,26
330,0,21,31
331,0,14,30
332,0,6,27
333,0,39,31
334,0,37,28
335,0,20,32
336,0,13,23
337,0,30,32
338,0,10,20
339,0,21,21
340,0,19,25
341,1,38,32
342,0,23,26
343,0,13,24
344,0,14,32
345,0,31,28
346,0,18,32
347,0,19,32
348,0,25,32
349,0,53,29
350,0,32,30
351,0,14,30
352,0,22,15
353,0,28,31
354,0,10,18
355,0,22,26
356,0,25,26
357,0,30,25
358,0,11,21
359,0,21,27
360,0,7,28
361,0,23,16
362,0,10,11
363,0,13,30
364,1,50,22
365,0,47,32
366,1,33,32
367,1,8,19
368,0,25,29
369,0,5,28
370,1,35,28
371,0,13,25
372,1,37,27
373,0,31,28
374,0,16,32
375,0,15,9
376,0,9,29
377,0,25,27
378,0,12,23
379,0,49,21
380,0,13,24
381,0,20,17
382,0,18,27
383,0,47,30
384,0,42,11
385,0,15,32
386,0,20,24
387,0,27,27
388,0,28,31
389,0,14,20
390,0,12,29
391,0,11,26
392,1,27,32
393,0,24,32
394,0,9,26
395,1,19,29
396,0,24,22
397,0,34,32
398,0,25,17
399,0,21,32
400,0,17,13
401,0,44,24
402,0,21,18
403,0,11,22
404,0,23,29
405,0,11,22
406,0,48,30
407,0,13,25
408,0,13,27
409,0,16,22
410,0,8,24
411,0,43,32
412,0,24,15
413,0,15,28
414,0,18,25
415,0,28,21
416,0,36,20
417,0,17,19
418,0,20,30
419,0,16,31
420,0,23,32
421,0,48,27
422,0,13,11
423,0,14,24
424,0,31,31
425,0,17,25
426,0,22,23
427,0,47,30
428,0,41,29
429,0,10,31
430,0,38,25
431,0,31,31
432,1,23,29
433,0,13,29
434,0,21,24
435,0,16,24
436,0,33,24
437,0,16,19
438,0,3,32
439,0,43,30
440,1,7,25
441,0,54,17
442,0,21,27
443,0,15,19
444,0,11,21
445,0,12,31
446,0,15,30
447,0,68,32
448,0,28,12
449,0,28,22
450,0,20,23
451,0,8,23
452,0,10,16
453,0,57,28
454,0,17,13
455,0,32,29
456,0,6,30
457,0,27,30
458,0,30,25
459,0,19,17
460,0,9,24
461,0,15,17
462,0,8,16
463,0,34,24
464,0,13,28
465,1,14,21
466,0,19,27
467,0,16,17
468,0,21,25
469,0,11,25
470,0,26,26
471,0,15,30
472,0,15,23
473,0,30,32
474,0,20,17
475,0,15,18
476,0,52,24
477,1,58,25
478,0,20,32
479,0,34,25
480,0,6,21
481,0,7,22
482,0,10,25
483,0,7,19
484,0,30,30
485,0,26,23
486,0,13,14
487,0,72,31
488,0,28,15
489,0,44,32
490,0,10,31
491,0,27,32
492,0,21,31
493,0,6,22
494,0,29,22
495,0,32,32
496,0,21,25
497,0,14,23
498,0,11,28
499,0,7,18
500,0,39,21
501,0,45,24
502,0,36,29
503,0,12,17
504,0,61,30
505,0,16,26
506,0,20,24
507,0,14,25
508,0,16,32
509,0,7,25
510,0,4,22
511,0,21,26
512,0,12,18
513,0,23,23
514,0,6,28
515,0,26,29
516,0,17,25
517,0,51,31
518,0,18,17
519,0,6,29
520,0,43,23
521,0,55,31
522,0,5,25
523,0,91,32
524,0,15,25
525,0,10,22
526,0,17,31
527,0,16,21
528,1,25,25
529,0,14,23
530,0,14,24
531,0,9,27
532,0,4,27
533,0,24,31
534,0,29,24
535,0,49,28
536,0,34,28
537,0,14,26
538,0,12,8
539,0,5,25
540,0,6,16
541,0,18,17
542,0,13,19
543,0,4,24
544,0,15,12
545,0,8,32
546,0,8,32
547,0,21,21
548,0,1,13
549,0,11,25
550,0,10,24
551,0,25,32
552,0,50,31
553,0,34,29
554,1,17,6
555,0,15,30
556,0,16,17
557,0,15,27
558,0,14,29
559,0,38,24
560,0,6,15
561,0,12,23
562,0,22,32
563,0,16,19
564,0,9,14
565,0,3,24
566,0,35,26
567,0,25,25
568,0,26,31
569,0,12,18
570,0,31,29
571,0,39,27
572,0,21,29
573,0,18,24
574,0,27,18
575,0,13,25
576,0,9,13
577,0,20,20
578,0,5,21
579,0,21,27
580,0,15,31
581,0,47,17
582,0,34,27
583,0,13,29
584,0,16,23
585,0,11,27
586,0,19,16
587,0,15,21
588,0,34,32
589,0,13,23
590,0,34,28
591,0,11,7
592,1,39,30
593,0,6,25
594,0,45,31
595,0,28,28
596,0,8,30
597,1,54,32
598,0,6,24
599,1,18,32
600,0,15,30
601,0,10,9
602,0,10,24
603,0,20,15
604,0,16,32
605,0,14,13
606,0,4,22
607,0,15,22
608,0,35,17
609,0,43,32
610,0,21,23
611,0,13,30
612,0,27,18
613,0,33,31
614,0,11,13
615,0,20,20
616,0,25,25
617,0,26,26
618,0,20,23
619,0,11,22
620,1,52,22
621,0,4,16
622,0,15,30
623,0,22,23
624,0,19,32
625,0,13,26
626,0,51,32
627,0,26,24
628,1,28,15
629,0,21,9
630,0,24,24
631,0,9,24
632,0,55,28
633,0,33,29
634,0,7,30
635,0,4,31
636,0,22,28
637,0,29,28
638,0,22,10
639,0,15,14
640,0,14,26
641,0,4,15
642,0,56,30
643,0,28,27
644,0,3,25
645,0,19,26
646,1,44,32
647,0,31,30
648,0,7,20
649,0,17,24
650,0,18,17
651,0,25,31
652,0,14,12
653,0,15,32
654,0,16,22
655,0,26,25
656,0,2,30
657,0,42,29
658,0,32,29
659,0,8,31
660,0,15,18
661,0,28,31
662,0,21,25
663,0,6,25
664,0,8,12
665,0,38,29
666,0,7,21
667,0,43,21
668,0,18,28
669,0,20,19
670,0,9,16
671,0,25,23
672,0,15,7
673,0,18,32
674,0,11,29
675,0,14,28
676,0,2,20
677,0,35,30
678,1,20,29
679,0,26,29
680,0,12,32
681,0,26,28
682,0,27,28
683,0,29,32
684,0,6,13
685,1,34,25
686,1,16,22
687,0,34,20
688,0,18,19
689,0,26,18
690,0,20,23
691,0,13,32
692,0,21,26
693,0,25,23
694,0,41,25
695,0,15,29
696,0,14,27
697,0,33,31
698,0,12,24
699,0,47,32
700,0,9,21
