Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.93245,0.127488
fashion-mnist-784-euclidean,10,20,0.97972,0.183653
fashion-mnist-784-euclidean,10,30,0.99112,0.232725
gist-960-euclidean,10,10,0.4095,0.320145
gist-960-euclidean,10,20,0.5419,0.482252
gist-960-euclidean,10,30,0.6235,0.633733
gist-960-euclidean,10,40,0.6769,0.773349
gist-960-euclidean,10,50,0.719,0.913045
gist-960-euclidean,10,60,0.7519,1.07513
gist-960-euclidean,10,80,0.7973,1.33781
gist-960-euclidean,10,100,0.8278,1.60955
gist-960-euclidean,10,120,0.8529,1.83777
gist-960-euclidean,10,150,0.8769,2.20353
gist-960-euclidean,10,200,0.9027,2.83564
gist-960-euclidean,10,300,0.9354,4.05433
gist-960-euclidean,10,400,0.9531,5.16774
gist-960-euclidean,10,500,0.9627,6.24525
mnist-784-euclidean,10,10,0.92852,0.133181
mnist-784-euclidean,10,20,0.98003,0.195967
mnist-784-euclidean,10,30,0.99169,0.254807
sift-128-euclidean,10,10,0.70582,0.0681418
sift-128-euclidean,10,20,0.83589,0.104391
sift-128-euclidean,10,30,0.89371,0.137969
sift-128-euclidean,10,40,0.926,0.172447
sift-128-euclidean,10,50,0.94518,0.204442
sift-128-euclidean,10,60,0.95906,0.238396
sift-128-euclidean,10,80,0.9747,0.2981
sift-128-euclidean,10,100,0.98269,0.360626
sift-128-euclidean,10,120,0.98777,0.421521
sift-128-euclidean,10,150,0.99164,0.507916
