Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.93245,0.124345
fashion-mnist-784-euclidean,10,20,0.97972,0.182937
fashion-mnist-784-euclidean,10,30,0.99112,0.235087
gist-960-euclidean,10,10,0.4095,0.319555
gist-960-euclidean,10,20,0.5419,0.480764
gist-960-euclidean,10,30,0.6235,0.63352
gist-960-euclidean,10,40,0.6769,0.775551
gist-960-euclidean,10,50,0.719,0.916284
gist-960-euclidean,10,60,0.7519,1.05601
gist-960-euclidean,10,80,0.7973,1.34819
gist-960-euclidean,10,100,0.8278,1.63236
gist-960-euclidean,10,120,0.8529,1.85739
gist-960-euclidean,10,150,0.8769,2.25179
gist-960-euclidean,10,200,0.9027,2.98514
gist-960-euclidean,10,300,0.9354,4.12152
gist-960-euclidean,10,400,0.9531,5.332
gist-960-euclidean,10,500,0.9627,6.32893
mnist-784-euclidean,10,10,0.92852,0.135042
mnist-784-euclidean,10,20,0.98003,0.199917
mnist-784-euclidean,10,30,0.99169,0.265112
sift-128-euclidean,10,10,0.70582,0.0731053
sift-128-euclidean,10,20,0.83589,0.111334
sift-128-euclidean,10,30,0.89371,0.147519
sift-128-euclidean,10,40,0.926,0.18419
sift-128-euclidean,10,50,0.94518,0.217299
sift-128-euclidean,10,60,0.95906,0.240764
sift-128-euclidean,10,80,0.9747,0.306434
sift-128-euclidean,10,100,0.98269,0.369219
sift-128-euclidean,10,120,0.98777,0.433911
sift-128-euclidean,10,150,0.99164,0.535443
