Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.93245,0.134851
fashion-mnist-784-euclidean,10,20,0.97972,0.181621
fashion-mnist-784-euclidean,10,30,0.99112,0.232863
gist-960-euclidean,10,10,0.4095,0.378842
gist-960-euclidean,10,20,0.5419,0.489501
gist-960-euclidean,10,30,0.6235,0.637475
gist-960-euclidean,10,40,0.6769,0.779337
gist-960-euclidean,10,50,0.719,0.918855
gist-960-euclidean,10,60,0.7519,1.05777
gist-960-euclidean,10,80,0.7973,1.35063
gist-960-euclidean,10,100,0.8278,1.63765
gist-960-euclidean,10,120,0.8529,1.87147
gist-960-euclidean,10,150,0.8769,2.24104
gist-960-euclidean,10,200,0.9027,2.88756
gist-960-euclidean,10,300,0.9354,4.1312
gist-960-euclidean,10,400,0.9531,5.20244
gist-960-euclidean,10,500,0.9627,6.38758
mnist-784-euclidean,10,10,0.92852,0.146436
mnist-784-euclidean,10,20,0.98003,0.196266
mnist-784-euclidean,10,30,0.99169,0.255168
sift-128-euclidean,10,10,0.70582,0.073941
sift-128-euclidean,10,20,0.83589,0.106126
sift-128-euclidean,10,30,0.89371,0.140334
sift-128-euclidean,10,40,0.926,0.173989
sift-128-euclidean,10,50,0.94518,0.206946
sift-128-euclidean,10,60,0.95906,0.237176
sift-128-euclidean,10,80,0.9747,0.303449
sift-128-euclidean,10,100,0.98269,0.362312
sift-128-euclidean,10,120,0.98777,0.424227
sift-128-euclidean,10,150,0.99164,0.512518
