Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.93288,0.604311
fashion-mnist-784-euclidean,10,20,0.97971,0.846929
fashion-mnist-784-euclidean,10,30,0.99125,1.0576
gist-960-euclidean,10,10,0.4122,2.37287
gist-960-euclidean,10,20,0.5444,3.60409
gist-960-euclidean,10,30,0.6206,4.65598
gist-960-euclidean,10,40,0.6761,5.72513
gist-960-euclidean,10,50,0.7179,6.73832
gist-960-euclidean,10,60,0.7471,7.64929
gist-960-euclidean,10,80,0.7921,9.72989
gist-960-euclidean,10,100,0.8259,11.6298
gist-960-euclidean,10,120,0.8508,13.3741
gist-960-euclidean,10,150,0.8752,16.2277
gist-960-euclidean,10,200,0.9041,20.5875
gist-960-euclidean,10,300,0.9361,28.9454
gist-960-euclidean,10,400,0.954,36.87
gist-960-euclidean,10,500,0.9648,43.9077
mnist-784-euclidean,10,10,0.93019,0.646186
mnist-784-euclidean,10,20,0.98015,0.933033
mnist-784-euclidean,10,30,0.9916,1.18026
sift-128-euclidean,10,10,0.70561,0.287532
sift-128-euclidean,10,20,0.8345,0.429014
sift-128-euclidean,10,30,0.89319,0.565212
sift-128-euclidean,10,40,0.9259,0.684117
sift-128-euclidean,10,50,0.94521,0.810864
sift-128-euclidean,10,60,0.95896,0.934651
sift-128-euclidean,10,80,0.97456,1.17993
sift-128-euclidean,10,100,0.98245,1.41922
sift-128-euclidean,10,120,0.9874,1.64123
sift-128-euclidean,10,150,0.99168,1.98464
