Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,1,10,0.9611,0.607208
fashion-mnist-784-euclidean,1,20,0.9856,0.87508
fashion-mnist-784-euclidean,1,30,0.9923,1.10069
gist-960-euclidean,1,10,0.475,2.50326
gist-960-euclidean,1,20,0.615,3.67822
gist-960-euclidean,1,30,0.689,4.97916
gist-960-euclidean,1,40,0.75,5.89775
gist-960-euclidean,1,50,0.778,6.88604
gist-960-euclidean,1,60,0.804,7.79271
gist-960-euclidean,1,80,0.842,9.88795
gist-960-euclidean,1,100,0.866,12.0491
gist-960-euclidean,1,120,0.895,13.5534
gist-960-euclidean,1,150,0.909,16.5446
gist-960-euclidean,1,200,0.927,21.0375
gist-960-euclidean,1,300,0.952,29.2682
gist-960-euclidean,1,400,0.969,37.2893
gist-960-euclidean,1,500,0.975,45.0887
mnist-784-euclidean,1,10,0.9694,0.660744
mnist-784-euclidean,1,20,0.9905,0.943627
sift-128-euclidean,1,10,0.7842,0.288441
sift-128-euclidean,1,20,0.8875,0.446535
sift-128-euclidean,1,30,0.9279,0.559396
sift-128-euclidean,1,40,0.95,0.689048
sift-128-euclidean,1,50,0.9627,0.81837
sift-128-euclidean,1,60,0.9708,0.961785
sift-128-euclidean,1,80,0.9807,1.21928
sift-128-euclidean,1,100,0.9837,1.43273
sift-128-euclidean,1,120,0.9878,1.71187
sift-128-euclidean,1,150,0.9888,1.99667
sift-128-euclidean,1,200,0.9914,2.55895
