Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.85589,0.289285
fashion-mnist-784-euclidean,10,20,0.90345,0.339708
fashion-mnist-784-euclidean,10,30,0.91518,0.413023
fashion-mnist-784-euclidean,10,40,0.91959,0.479517
fashion-mnist-784-euclidean,10,50,0.92163,0.549667
fashion-mnist-784-euclidean,10,60,0.92279,0.618026
fashion-mnist-784-euclidean,10,80,0.92391,0.756391
fashion-mnist-784-euclidean,10,100,0.92448,0.888558
fashion-mnist-784-euclidean,10,120,0.92475,1.01637
fashion-mnist-784-euclidean,10,150,0.92509,1.20805
fashion-mnist-784-euclidean,10,200,0.92533,1.52143
fashion-mnist-784-euclidean,10,300,0.92555,2.1164
fashion-mnist-784-euclidean,10,400,0.92572,2.67911
fashion-mnist-784-euclidean,10,500,0.92577,3.24242
gist-960-euclidean,10,10,0.3919,0.769772
gist-960-euclidean,10,20,0.5231,1.01528
gist-960-euclidean,10,30,0.6043,1.28694
gist-960-euclidean,10,40,0.6621,1.5591
gist-960-euclidean,10,50,0.7002,1.81444
gist-960-euclidean,10,60,0.7327,2.08341
gist-960-euclidean,10,80,0.7812,2.55294
gist-960-euclidean,10,100,0.815,3.04384
gist-960-euclidean,10,120,0.8357,3.49357
gist-960-euclidean,10,150,0.8606,4.19692
gist-960-euclidean,10,200,0.8893,5.34424
gist-960-euclidean,10,300,0.9193,7.54803
gist-960-euclidean,10,400,0.937,9.6108
gist-960-euclidean,10,500,0.9472,11.6283
mnist-784-euclidean,10,10,0.8764,0.281129
mnist-784-euclidean,10,20,0.92663,0.339852
mnist-784-euclidean,10,30,0.93882,0.415548
mnist-784-euclidean,10,40,0.94343,0.490152
mnist-784-euclidean,10,50,0.9454,0.562911
mnist-784-euclidean,10,60,0.94632,0.635645
mnist-784-euclidean,10,80,0.94738,0.776395
mnist-784-euclidean,10,100,0.9477,0.917103
mnist-784-euclidean,10,120,0.94793,1.05623
mnist-784-euclidean,10,150,0.94812,1.26098
mnist-784-euclidean,10,200,0.94824,1.59612
mnist-784-euclidean,10,300,0.94836,2.25464
mnist-784-euclidean,10,400,0.94839,2.89501
mnist-784-euclidean,10,500,0.94843,3.52543
sift-128-euclidean,10,10,0.65252,0.112276
sift-128-euclidean,10,20,0.78068,0.146437
sift-128-euclidean,10,30,0.83821,0.182223
sift-128-euclidean,10,40,0.87126,0.221483
sift-128-euclidean,10,50,0.89219,0.257947
sift-128-euclidean,10,60,0.90568,0.295853
sift-128-euclidean,10,80,0.92184,0.380481
sift-128-euclidean,10,100,0.93092,0.443667
sift-128-euclidean,10,120,0.93654,0.515314
sift-128-euclidean,10,150,0.9415,0.623919
sift-128-euclidean,10,200,0.946,0.79797
sift-128-euclidean,10,300,0.94888,1.15532
sift-128-euclidean,10,400,0.94991,1.46771
sift-128-euclidean,10,500,0.95024,1.78999
