Dataset,UseTLS,TLSRatio,K,ef,Recall,Latency(ms/query),DecodingCalls,DistanceComputations,AvgDecodingPerQuery
fashion-mnist-784-euclidean,0,0.00,1,10,0.961500,0.4388,1788202,724727,178.8202
fashion-mnist-784-euclidean,1,0.10,1,10,0.951300,0.1847,279362,150513,27.9362
fashion-mnist-784-euclidean,1,0.20,1,10,0.959600,0.2024,360512,159241,36.0512
fashion-mnist-784-euclidean,1,0.30,1,10,0.960800,0.2404,504540,197491,50.4540
fashion-mnist-784-euclidean,0,0.00,1,20,0.984700,0.6284,2682216,724727,268.2216
fashion-mnist-784-euclidean,1,0.10,1,20,0.977500,0.2356,465033,150513,46.5033
fashion-mnist-784-euclidean,1,0.20,1,20,0.984000,0.2649,569278,159241,56.9278
fashion-mnist-784-euclidean,1,0.30,1,20,0.984000,0.3162,770175,197491,77.0175
fashion-mnist-784-euclidean,0,0.00,1,30,0.991800,0.8325,3479356,724727,347.9356
fashion-mnist-784-euclidean,1,0.10,1,30,0.984900,0.2965,655758,150513,65.5758
fashion-mnist-784-euclidean,1,0.20,1,30,0.990200,0.3303,775333,159241,77.5333
fashion-mnist-784-euclidean,1,0.30,1,30,0.991600,0.3904,1020191,197491,102.0191
fashion-mnist-784-euclidean,0,0.00,1,40,0.995000,0.9973,4205588,724727,420.5588
fashion-mnist-784-euclidean,1,0.10,1,40,0.987500,0.3567,845543,150513,84.5543
fashion-mnist-784-euclidean,1,0.20,1,40,0.993000,0.3856,978760,159241,97.8760
fashion-mnist-784-euclidean,1,0.30,1,40,0.994900,0.4556,1259682,197491,125.9682
fashion-mnist-784-euclidean,0,0.00,1,50,0.996100,1.1360,4882328,724727,488.2328
fashion-mnist-784-euclidean,1,0.10,1,50,0.988500,0.4103,1035228,150513,103.5228
fashion-mnist-784-euclidean,1,0.20,1,50,0.994000,0.4453,1179310,159241,117.9310
fashion-mnist-784-euclidean,1,0.30,1,50,0.995900,0.5264,1491543,197491,149.1543
fashion-mnist-784-euclidean,0,0.00,1,60,0.996900,1.2794,5511571,724727,551.1571
fashion-mnist-784-euclidean,1,0.10,1,60,0.989300,0.4656,1223467,150513,122.3467
fashion-mnist-784-euclidean,1,0.20,1,60,0.994800,0.5059,1377288,159241,137.7288
fashion-mnist-784-euclidean,1,0.30,1,60,0.996600,0.5847,1717482,197491,171.7482
fashion-mnist-784-euclidean,0,0.00,1,80,0.997700,1.5410,6679456,724727,667.9456
fashion-mnist-784-euclidean,1,0.10,1,80,0.990600,0.5861,1596954,150513,159.6954
fashion-mnist-784-euclidean,1,0.20,1,80,0.995800,0.6301,1766689,159241,176.6689
fashion-mnist-784-euclidean,1,0.30,1,80,0.997700,0.7187,2155046,197491,215.5046
fashion-mnist-784-euclidean,0,0.00,1,100,0.998500,1.7862,7747096,724727,774.7096
fashion-mnist-784-euclidean,1,0.10,1,100,0.991300,0.6928,1965028,150513,196.5028
fashion-mnist-784-euclidean,1,0.20,1,100,0.996600,0.7389,2149251,159241,214.9251
fashion-mnist-784-euclidean,1,0.30,1,100,0.997900,0.8403,2578492,197491,257.8492
fashion-mnist-784-euclidean,0,0.00,1,120,0.998500,2.0289,8744335,724727,874.4335
fashion-mnist-784-euclidean,1,0.10,1,120,0.991700,0.8065,2329601,150513,232.9601
fashion-mnist-784-euclidean,1,0.20,1,120,0.996700,0.8553,2524258,159241,252.4258
fashion-mnist-784-euclidean,1,0.30,1,120,0.998400,0.9635,2990559,197491,299.0559
fashion-mnist-784-euclidean,0,0.00,1,150,0.998600,2.3380,10127556,724727,1012.7556
fashion-mnist-784-euclidean,1,0.10,1,150,0.992200,0.9580,2868311,150513,286.8311
fashion-mnist-784-euclidean,1,0.20,1,150,0.996900,1.0127,3077837,159241,307.7837
fashion-mnist-784-euclidean,1,0.30,1,150,0.998600,1.1391,3591251,197491,359.1251
fashion-mnist-784-euclidean,0,0.00,1,200,0.999000,2.8792,12236839,724727,1223.6839
fashion-mnist-784-euclidean,1,0.10,1,200,0.992200,1.2239,3748837,150513,374.8837
fashion-mnist-784-euclidean,1,0.20,1,200,0.997100,1.2736,3976370,159241,397.6370
fashion-mnist-784-euclidean,1,0.30,1,200,0.998900,1.4185,4559204,197491,455.9204
fashion-mnist-784-euclidean,0,0.00,1,300,0.999300,3.7918,15937674,724727,1593.7674
fashion-mnist-784-euclidean,1,0.10,1,300,0.992900,1.7414,5453578,150513,545.3578
fashion-mnist-784-euclidean,1,0.20,1,300,0.997700,1.7967,5709990,159241,570.9990
fashion-mnist-784-euclidean,1,0.30,1,300,0.999000,1.9559,6400278,197491,640.0278
gist-960-euclidean,0,0.00,1,10,0.445000,1.6484,355972,106769,355.9720
gist-960-euclidean,1,0.10,1,10,0.425000,0.3832,36380,18282,36.3800
gist-960-euclidean,1,0.20,1,10,0.446000,0.5350,67306,21475,67.3060
gist-960-euclidean,1,0.30,1,10,0.449000,0.6956,100831,27926,100.8310
gist-960-euclidean,0,0.00,1,20,0.582000,2.6300,576295,106769,576.2950
gist-960-euclidean,1,0.10,1,20,0.570000,0.5598,59609,18282,59.6090
gist-960-euclidean,1,0.20,1,20,0.586000,0.7953,108858,21475,108.8580
gist-960-euclidean,1,0.30,1,20,0.586000,1.0554,163634,27926,163.6340
gist-960-euclidean,0,0.00,1,30,0.669000,3.5493,773591,106769,773.5910
gist-960-euclidean,1,0.10,1,30,0.655000,0.7157,80135,18282,80.1350
gist-960-euclidean,1,0.20,1,30,0.673000,1.0217,145316,21475,145.3160
