Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.93141,4.79351
fashion-mnist-784-euclidean,10,20,0.97961,7.1568
fashion-mnist-784-euclidean,10,30,0.99112,9.23508
gist-960-euclidean,10,10,0.3875,19.1693
gist-960-euclidean,10,20,0.5251,29.6631
gist-960-euclidean,10,30,0.6095,38.7696
gist-960-euclidean,10,40,0.664,47.5215
gist-960-euclidean,10,50,0.7105,55.9032
gist-960-euclidean,10,60,0.7386,63.5661
gist-960-euclidean,10,80,0.7842,79.8698
gist-960-euclidean,10,100,0.8147,95.7888
gist-960-euclidean,10,120,0.837,111.349
gist-960-euclidean,10,150,0.864,133.509
gist-960-euclidean,10,200,0.8925,169.909
gist-960-euclidean,10,300,0.9247,238.389
gist-960-euclidean,10,400,0.9416,301.588
gist-960-euclidean,10,500,0.9534,363.327
mnist-784-euclidean,10,10,0.92726,3.95179
mnist-784-euclidean,10,20,0.97917,5.98407
mnist-784-euclidean,10,30,0.99121,7.84554
sift-128-euclidean,10,10,0.70818,1.74919
sift-128-euclidean,10,20,0.83654,2.733
sift-128-euclidean,10,30,0.89399,3.64068
sift-128-euclidean,10,40,0.92617,4.53947
sift-128-euclidean,10,50,0.94572,5.38813
sift-128-euclidean,10,60,0.95906,6.23378
sift-128-euclidean,10,80,0.97427,7.91468
sift-128-euclidean,10,100,0.98235,9.51322
sift-128-euclidean,10,120,0.98726,11.0986
sift-128-euclidean,10,150,0.99152,13.3783
