Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,1,10,0.9572,1.11196
fashion-mnist-784-euclidean,1,20,0.9835,1.67872
fashion-mnist-784-euclidean,1,30,0.9906,2.2406
gist-960-euclidean,1,10,0.445,3.98492
gist-960-euclidean,1,20,0.593,6.16845
gist-960-euclidean,1,30,0.67,8.0408
gist-960-euclidean,1,40,0.711,9.79531
gist-960-euclidean,1,50,0.749,11.5361
gist-960-euclidean,1,60,0.771,13.2292
gist-960-euclidean,1,80,0.821,16.6889
gist-960-euclidean,1,100,0.852,19.9804
gist-960-euclidean,1,120,0.864,23.2523
gist-960-euclidean,1,150,0.881,28.3405
gist-960-euclidean,1,200,0.904,35.9792
gist-960-euclidean,1,300,0.923,50.5409
gist-960-euclidean,1,400,0.936,67.5416
gist-960-euclidean,1,500,0.941,82.3271
mnist-784-euclidean,1,10,0.9646,0.929049
mnist-784-euclidean,1,20,0.9887,1.39692
mnist-784-euclidean,1,30,0.9947,1.84232
sift-128-euclidean,1,10,0.7736,0.375946
sift-128-euclidean,1,20,0.879,0.588595
sift-128-euclidean,1,30,0.9202,0.775
sift-128-euclidean,1,40,0.9421,0.954549
sift-128-euclidean,1,50,0.9543,1.13802
sift-128-euclidean,1,60,0.9623,1.31353
sift-128-euclidean,1,80,0.9707,1.68384
sift-128-euclidean,1,100,0.9754,2.02893
sift-128-euclidean,1,120,0.979,2.37508
sift-128-euclidean,1,150,0.9824,2.91631
sift-128-euclidean,1,200,0.9834,3.79962
sift-128-euclidean,1,300,0.9856,5.39612
sift-128-euclidean,1,400,0.9857,7.25316
sift-128-euclidean,1,500,0.9867,8.76993
