Dataset,K,ef,Recall,TimePerQuery(ms)
fashion-mnist-784-euclidean,10,10,0.85554,1.12447
fashion-mnist-784-euclidean,10,20,0.90391,1.68342
fashion-mnist-784-euclidean,10,30,0.91554,2.24769
fashion-mnist-784-euclidean,10,40,0.91985,2.95807
fashion-mnist-784-euclidean,10,50,0.9219,3.56006
fashion-mnist-784-euclidean,10,60,0.92316,4.29785
fashion-mnist-784-euclidean,10,80,0.92415,5.42958
fashion-mnist-784-euclidean,10,100,0.92466,6.45896
fashion-mnist-784-euclidean,10,120,0.92504,7.7974
fashion-mnist-784-euclidean,10,150,0.92546,9.44253
fashion-mnist-784-euclidean,10,200,0.92578,11.875
fashion-mnist-784-euclidean,10,300,0.92601,16.9922
fashion-mnist-784-euclidean,10,400,0.92604,21.8324
fashion-mnist-784-euclidean,10,500,0.9261,26.5247
gist-960-euclidean,10,10,0.3729,4.09396
gist-960-euclidean,10,20,0.5084,6.29509
gist-960-euclidean,10,30,0.587,8.26474
gist-960-euclidean,10,40,0.6397,10.0828
gist-960-euclidean,10,50,0.6827,11.8861
gist-960-euclidean,10,60,0.7141,13.6848
gist-960-euclidean,10,80,0.7599,17.2164
gist-960-euclidean,10,100,0.7948,20.6499
gist-960-euclidean,10,120,0.8165,24.121
gist-960-euclidean,10,150,0.8433,29.1985
gist-960-euclidean,10,200,0.8725,37.4153
gist-960-euclidean,10,300,0.9052,52.9419
gist-960-euclidean,10,400,0.9234,67.2538
gist-960-euclidean,10,500,0.9335,81.6236
mnist-784-euclidean,10,10,0.87425,1.01305
mnist-784-euclidean,10,20,0.92612,1.51439
mnist-784-euclidean,10,30,0.93926,2.01564
mnist-784-euclidean,10,40,0.94351,2.48666
mnist-784-euclidean,10,50,0.94572,2.96357
mnist-784-euclidean,10,60,0.94648,3.42493
mnist-784-euclidean,10,80,0.94757,4.3632
mnist-784-euclidean,10,100,0.94787,5.24616
mnist-784-euclidean,10,120,0.94805,6.17292
mnist-784-euclidean,10,150,0.94828,7.56888
mnist-784-euclidean,10,200,0.94848,9.72083
mnist-784-euclidean,10,300,0.9486,14.1078
mnist-784-euclidean,10,400,0.94864,18.2824
mnist-784-euclidean,10,500,0.94868,23.1013
sift-128-euclidean,10,10,0.65631,0.417648
sift-128-euclidean,10,20,0.78387,0.628617
sift-128-euclidean,10,30,0.84065,0.832699
sift-128-euclidean,10,40,0.87282,1.03468
sift-128-euclidean,10,50,0.89281,1.23273
sift-128-euclidean,10,60,0.90622,1.44687
sift-128-euclidean,10,80,0.92202,1.83172
sift-128-euclidean,10,100,0.9307,2.17698
sift-128-euclidean,10,120,0.93634,2.54185
sift-128-euclidean,10,150,0.9413,3.08266
sift-128-euclidean,10,200,0.94549,3.9709
sift-128-euclidean,10,300,0.94845,5.73349
sift-128-euclidean,10,400,0.94943,7.61958
sift-128-euclidean,10,500,0.94978,9.07891
