Dataset,IndexType,BuildTime(s),IndexFile,IndexSize(Bytes)
mnist-784,LVC,43.348612,mnist-784_compressed_hnsw_dexor.bin,43801167
mnist-784,HNSW,5.060374,mnist-784_hnsw_float.bin,197063120
mnist-784,IVF,1.612460,mnist-784_ivf_float.bin,191859595
mnist-784,NSG,9.743522,,191883592
mnist-784,Vamana,1.61644,,193829568
mnist-784,HNSWPQ,256.601006,mnist-784_hnsw_pq_float.bin,56500131
mnist-784,HNSWSQ,4.197709,mnist-784_hnsw_sq_float.bin,55703582
deep,LVC,,,3008876325
deep,HNSW,384.152,,5320006736
deep,IVF,10.039567,,3916481547
deep,NSG,604.654453,,4737179832
deep,Vamana,249.911,,4960674856
deep,HNSWPQ,,,2400413987
deep,HNSWSQ,,,2400316446
fashion-mnist,LVC,,,61471757
fashion-mnist,HNSW,384.152,,197063120
fashion-mnist,IVF,1.551925,,191859595
fashion-mnist,NSG,8.694894,,190964260
fashion-mnist,Vamana,0.635233,,192781812
fashion-mnist,HNSWPQ,,,56500131
fashion-mnist,HNSWSQ,,,55703582
gist,LVC,,,1650247605
gist,HNSW,384.152,,3988565208
gist,IVF,10.485785,,3851940491
gist,NSG,431.456835,,3886505172
gist,Vamana,52.9547,,3914600040
gist,HNSWPQ,,,1105241443
gist,HNSWSQ,,,1104266078
sift,LVC,,,261229645
sift,HNSW,384.152,,660565208
sift,IVF,3.186355,,520532619
sift,NSG,77.982768,,596227920
sift,Vamana,9.16846,,621068868
sift,HNSWPQ,,,272389475
sift,HNSWSQ,9.16846,,272259422
