Dataset,IndexType,ActualVariant,IndexFile,Component,Bytes,GiB,FileSizeBytes,N,Dim,Note
deep-image-96-angular,HNSW,hnswlib-float,deep-image-96-angular_train.fvecs_hnsw_float.bin,Vector Payloads,3836160000,3.572702,5320006736,9990000,96,""
deep-image-96-angular,HNSW,hnswlib-float,deep-image-96-angular_train.fvecs_hnsw_float.bin,Graph Structure,1403926640,1.307509,5320006736,9990000,96,"level-0 links, upper-level links, and serialized upper-link size fields"
deep-image-96-angular,HNSW,hnswlib-float,deep-image-96-angular_train.fvecs_hnsw_float.bin,Original Metadata,79920000,0.074431,5320006736,9990000,96,"labels"
deep-image-96-angular,HNSW,hnswlib-float,deep-image-96-angular_train.fvecs_hnsw_float.bin,Original Metadata,96,0.000000,5320006736,9990000,96,"serialized headers and small fields"
deep-image-96-angular,HNSW+PQ,deep-image-96-angular_train.fvecs_HNSWPQ_1,deep-image-96-angular_train.fvecs_HNSWPQ_1.bin,Quantized Vector Codes,959040000,0.893176,2400413987,9990000,96,""
deep-image-96-angular,HNSW+PQ,deep-image-96-angular_train.fvecs_HNSWPQ_1,deep-image-96-angular_train.fvecs_HNSWPQ_1.bin,Graph Structure,1321395392,1.230645,2400413987,9990000,96,"Faiss HNSW neighbors array"
deep-image-96-angular,HNSW+PQ,deep-image-96-angular_train.fvecs_HNSWPQ_1,deep-image-96-angular_train.fvecs_HNSWPQ_1.bin,Original Metadata,119880124,0.111647,2400413987,9990000,96,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
deep-image-96-angular,HNSW+PQ,deep-image-96-angular_train.fvecs_HNSWPQ_1,deep-image-96-angular_train.fvecs_HNSWPQ_1.bin,Quantizer Codebook,98304,0.000092,2400413987,9990000,96,"PQ centroids or SQ trained ranges"
deep-image-96-angular,HNSW+PQ,deep-image-96-angular_train.fvecs_HNSWPQ_1,deep-image-96-angular_train.fvecs_HNSWPQ_1.bin,Original Metadata,167,0.000000,2400413987,9990000,96,"serialized headers and small fields"
deep-image-96-angular,HNSW+SQ,deep-image-96-angular_train.fvecs_HNSWSQ_8,deep-image-96-angular_train.fvecs_HNSWSQ_8.bin,Quantized Vector Codes,959040000,0.893176,2400316446,9990000,96,""
deep-image-96-angular,HNSW+SQ,deep-image-96-angular_train.fvecs_HNSWSQ_8,deep-image-96-angular_train.fvecs_HNSWSQ_8.bin,Graph Structure,1321395392,1.230645,2400316446,9990000,96,"Faiss HNSW neighbors array"
deep-image-96-angular,HNSW+SQ,deep-image-96-angular_train.fvecs_HNSWSQ_8,deep-image-96-angular_train.fvecs_HNSWSQ_8.bin,Original Metadata,119880124,0.111647,2400316446,9990000,96,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
