Dataset,Variant,IndexFile,Bytes,GiB,Selected
deep-image-96-angular,ALP,deep-image-96-angular_train.fvecs_hnswalp_simplified_pq.bin,2970562533,2.766552,1
fashion-mnist-784-euclidean,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,60776029,0.056602,1
fashion-mnist-784-euclidean,DeXOR,fashion-mnist-784-euclidean_DeXOR_chunlim_pq.bin,61471757,0.057250,0
fashion-mnist-784-euclidean,DeXOR,fashion-mnist-784-euclidean_DeXOR_ch5_pq.bin,62022982,0.057763,0
fashion-mnist-784-euclidean,DeXOR,fashion-mnist-784-euclidean_DeXOR_ch2_pq.bin,63342004,0.058992,0
fashion-mnist-784-euclidean,Gorilla,fashion-mnist-784-euclidean_Gorilla_chunlim_pq.bin,75335258,0.070161,0
fashion-mnist-784-euclidean,Elf,fashion-mnist-784-euclidean_Elf_chunlim_pq.bin,79030181,0.073603,0
fashion-mnist-784-euclidean,Gorilla,fashion-mnist-784-euclidean_Gorilla_ch5_pq.bin,79371661,0.073921,0
fashion-mnist-784-euclidean,Elf,fashion-mnist-784-euclidean_Elf_ch5_pq.bin,79744438,0.074268,0
fashion-mnist-784-euclidean,Elf,fashion-mnist-784-euclidean_Elf_ch2_pq.bin,91820697,0.085515,0
fashion-mnist-784-euclidean,Elf,fashion-mnist-784-euclidean_train.fvecs_Elf_pq.bin,91823133,0.085517,0
fashion-mnist-784-euclidean,Camel,fashion-mnist-784-euclidean_Camel_chunlim_pq.bin,108177219,0.100748,0
fashion-mnist-784-euclidean,Camel,fashion-mnist-784-euclidean_Camel_ch5_pq.bin,108931279,0.101450,0
fashion-mnist-784-euclidean,Camel,fashion-mnist-784-euclidean_Camel_ch2_pq.bin,111423826,0.103772,0
fashion-mnist-784-euclidean,Camel,fashion-mnist-784-euclidean_train.fvecs_Camel_pq.bin,111516894,0.103858,0
fashion-mnist-784-euclidean,Gorilla,fashion-mnist-784-euclidean_Gorilla_ch2_pq.bin,227189975,0.211587,0
fashion-mnist-784-euclidean,Gorilla,fashion-mnist-784-euclidean_train.fvecs_Gorilla_pq.bin,227697100,0.212059,0
gist-960-euclidean,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,1650247605,1.536913,1
gist-960-euclidean,Camel,gist-960-euclidean_train.fvecs_Camel_pq.bin,2350873995,2.189422,0
gist-960-euclidean,Camel,gist-960-euclidean_Camel_ch2_pq.bin,2350936264,2.189480,0
gist-960-euclidean,Camel,gist-960-euclidean_Camel_ch5_pq.bin,2350944940,2.189488,0
gist-960-euclidean,Camel,gist-960-euclidean_Camel_chunlim_pq.bin,2350947162,2.189490,0
gist-960-euclidean,Gorilla,gist-960-euclidean_Gorilla_chunlim_pq.bin,4061657905,3.782714,0
gist-960-euclidean,Gorilla,gist-960-euclidean_Gorilla_ch5_pq.bin,4153216831,3.867985,0
gist-960-euclidean,Elf,gist-960-euclidean_Elf_chunlim_pq.bin,4232857807,3.942156,0
gist-960-euclidean,Elf,gist-960-euclidean_Elf_ch5_pq.bin,4266541679,3.973527,0
gist-960-euclidean,Elf,gist-960-euclidean_train.fvecs_Elf_pq.bin,4904815679,4.567966,0
gist-960-euclidean,Elf,gist-960-euclidean_Elf_ch2_pq.bin,4905210771,4.568334,0
gist-960-euclidean,DeXOR,gist-960-euclidean_DeXOR_ch2_pq.bin,6596952993,6.143891,0
gist-960-euclidean,DeXOR,gist-960-euclidean_DeXOR_ch5_pq.bin,6676685236,6.218148,0
gist-960-euclidean,DeXOR,gist-960-euclidean_DeXOR_chunlim_pq.bin,6690474121,6.230990,0
gist-960-euclidean,Gorilla,gist-960-euclidean_Gorilla_ch2_pq.bin,8105504272,7.548839,0
gist-960-euclidean,Gorilla,gist-960-euclidean_train.fvecs_Gorilla_pq.bin,8107387575,7.550593,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,43801167,0.040793,1
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch8_pq.bin,43841369,0.040830,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch7_pq.bin,43912264,0.040896,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch6_pq.bin,43966664,0.040947,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch5_pq.bin,44075641,0.041049,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch4_pq.bin,44353719,0.041308,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch3_pq.bin,44685270,0.041616,0
mnist-784-euclidean,DeXOR,mnist-784-euclidean_DeXOR_ch2_pq.bin,44778072,0.041703,0
mnist-784-euclidean,Gorilla,mnist-784-euclidean_Gorilla_chunlim_pq.bin,47083628,0.043850,0
mnist-784-euclidean,Gorilla,mnist-784-euclidean_Gorilla_ch5_pq.bin,50033721,0.046598,0
mnist-784-euclidean,Elf,mnist-784-euclidean_Elf_chunlim_pq.bin,54045383,0.050334,0
mnist-784-euclidean,Elf,mnist-784-euclidean_Elf_ch5_pq.bin,54549028,0.050803,0
mnist-784-euclidean,Elf,mnist-784-euclidean_Elf_ch2_pq.bin,59474390,0.055390,0
mnist-784-euclidean,Elf,mnist-784-euclidean_train.fvecs_Elf_pq.bin,59614619,0.055520,0
mnist-784-euclidean,ALP,mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,61747137,0.057507,0
mnist-784-euclidean,Camel,mnist-784-euclidean_Camel_chunlim_pq.bin,80947413,0.075388,0
mnist-784-euclidean,Camel,mnist-784-euclidean_Camel_ch5_pq.bin,81338381,0.075752,0
mnist-784-euclidean,Camel,mnist-784-euclidean_Camel_ch2_pq.bin,82934591,0.077239,0
mnist-784-euclidean,Camel,mnist-784-euclidean_train.fvecs_Camel_pq.bin,82952681,0.077256,0
mnist-784-euclidean,Gorilla,mnist-784-euclidean_Gorilla_ch2_pq.bin,103784840,0.096657,0
mnist-784-euclidean,Gorilla,mnist-784-euclidean_train.fvecs_Gorilla_pq.bin,103845824,0.096714,0
sift-128-euclidean,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,261229645,0.243289,1
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_chunlim_pq.bin,289364889,0.269492,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch8_pq.bin,290654179,0.270693,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch7_pq.bin,291210224,0.271211,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch6_pq.bin,291935130,0.271886,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch5_pq.bin,292923180,0.272806,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch2_pq.bin,293743683,0.273570,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch4_pq.bin,294294863,0.274083,0
sift-128-euclidean,DeXOR,sift-128-euclidean_DeXOR_ch3_pq.bin,296107735,0.275772,0
sift-128-euclidean,Elf,sift-128-euclidean_Elf_chunlim_pq.bin,356055447,0.331602,0
sift-128-euclidean,Gorilla,sift-128-euclidean_Gorilla_chunlim_pq.bin,364090836,0.339086,0
sift-128-euclidean,Elf,sift-128-euclidean_Elf_ch5_pq.bin,364114012,0.339108,0
sift-128-euclidean,Gorilla,sift-128-euclidean_Gorilla_ch5_pq.bin,397211660,0.369932,0
sift-128-euclidean,Camel,sift-128-euclidean_Camel_chunlim_pq.bin,401533064,0.373957,0
sift-128-euclidean,Elf,sift-128-euclidean_Elf_ch2_pq.bin,411207633,0.382967,0
sift-128-euclidean,Elf,sift-128-euclidean_train.fvecs_Elf_pq.bin,411592866,0.383326,0
sift-128-euclidean,Camel,sift-128-euclidean_Camel_ch5_pq.bin,412775643,0.384427,0
sift-128-euclidean,Camel,sift-128-euclidean_train.fvecs_Camel_pq.bin,428825061,0.399374,0
sift-128-euclidean,Camel,sift-128-euclidean_Camel_ch2_pq.bin,429201676,0.399725,0
sift-128-euclidean,Gorilla,sift-128-euclidean_train.fvecs_Gorilla_pq.bin,1024216610,0.953876,0
sift-128-euclidean,Gorilla,sift-128-euclidean_Gorilla_ch2_pq.bin,1024846172,0.954462,0
