Dataset,Method,CompressionRatio,PQ_M,CodeBits,K,ef,Recall,TimePerQuery(ms),Latency(us),QPS,TrainTime(s),AddTime(s),BuildTime(s),Status,Message
gist-960-euclidean,HNSW,1,0,32,1,10,0.501000,0.270142,270.142000,3701.756854,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,HNSW,1,0,32,1,20,0.636000,0.430985,430.985000,2320.266367,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,HNSW,1,0,32,1,40,0.752000,0.741051,741.051000,1349.434789,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,HNSW,1,0,32,1,80,0.850000,1.263754,1263.754000,791.293242,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,HNSW,1,0,32,1,120,0.891000,1.795852,1795.852000,556.838760,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,HNSW,1,0,32,1,200,0.933000,2.831410,2831.410000,353.180924,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,HNSW,1,0,32,1,400,0.965000,5.162237,5162.237000,193.714469,0.000000,390.589982,390.589982,ok,
gist-960-euclidean,SQ,2,0,16,1,10,0.502000,0.874850,874.850000,1143.053095,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,2,0,16,1,20,0.640000,1.327373,1327.373000,753.367742,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,2,0,16,1,40,0.760000,2.141873,2141.873000,466.881090,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,2,0,16,1,80,0.849000,3.693194,3693.194000,270.768338,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,2,0,16,1,120,0.892000,5.193255,5193.255000,192.557462,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,2,0,16,1,200,0.926000,7.518968,7518.968000,132.996975,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,2,0,16,1,400,0.959000,13.270616,13270.616000,75.354452,0.000000,1174.627321,1174.627321,ok,
gist-960-euclidean,SQ,4,0,8,1,10,0.466000,0.427041,427.041000,2341.695528,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,4,0,8,1,20,0.608000,0.523309,523.309000,1910.916877,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,4,0,8,1,40,0.738000,0.844519,844.519000,1184.105982,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,4,0,8,1,80,0.839000,1.456647,1456.647000,686.508124,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,4,0,8,1,120,0.879000,2.058973,2058.973000,485.679025,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,4,0,8,1,200,0.903000,3.239122,3239.122000,308.725636,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,4,0,8,1,400,0.939000,5.951298,5951.298000,168.030571,1.717509,477.127538,478.845047,ok,
gist-960-euclidean,SQ,8,0,4,1,10,0.249000,0.924141,924.141000,1082.085959,1.853350,2012.394135,2014.247485,ok,
